method,element,score,rank
Monte Carlo frequency,T2P,0.6688391038696537,2
Monte Carlo frequency,corridor,0.6765784114052953,1
Monte Carlo frequency,S1A,0.21710794297352343,4
Monte Carlo frequency,S1B,0.20773930753564154,5
Monte Carlo frequency,S1C,0.23828920570264767,3
Baseline FST,T2P,0.24242424242424243,1
Baseline FST,corridor,0.16666666666666666,5
Baseline FST,S1A,0.21212121212121213,2
Baseline FST,S1B,0.19696969696969696,3
Baseline FST,S1C,0.18181818181818182,4
Mechanism-balanced FST,T2P,0.5217391304347826,1
Mechanism-balanced FST,corridor,0.2826086956521739,2
Mechanism-balanced FST,S1A,0.06521739130434782,3
Mechanism-balanced FST,S1B,0.06521739130434782,3
Mechanism-balanced FST,S1C,0.06521739130434782,3
RST,T2P,0.7310877259405164,1
RST,corridor,0.24523127245926885,2
RST,S1A,0.007893667200071583,3
RST,S1B,0.007893667200071583,3
RST,S1C,0.007893667200071583,3
