topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,314,1,Demand-supply coupling,True,False,False,Adaptation-limited,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,3,0.7630204845619905,466.40781947104324,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.31328156389420864,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.2014218239621391,""start_week"":39,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.3009777366957812,""start_week"":47,""duration_weeks"":1,""recovery_weeks"":2}]"
A,314,2,Demand-supply coupling,True,True,True,Structural,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,4,0.7211135701742541,2259.324832759422,True,True,False,True,False,"[{""target"":""T2P"",""magnitude"":0.3509977868431714,""start_week"":31,""duration_weeks"":9,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.2626063365867367,""start_week"":36,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.354116623852342,""start_week"":37,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2914852678688076,""start_week"":48,""duration_weeks"":7,""recovery_weeks"":1}]"
A,314,3,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,3,0.8564647171359844,150.83137926521658,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.20396203043155217,""start_week"":17,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.16759042140579622,""start_week"":45,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.08935944417108546,""start_week"":48,""duration_weeks"":3,""recovery_weeks"":2}]"
A,314,4,Demand-supply coupling,True,False,False,Adaptation-limited,Concentrated dependency,Concentrated dependency,1,0.7933378334955736,623.9077515362686,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.2604970515446613,""start_week"":30,""duration_weeks"":5,""recovery_weeks"":2}]"
A,314,5,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,4,0.8565937292209381,150.67311293364173,True,False,False,False,True,"[{""target"":""demand"",""magnitude"":0.16741456992626857,""start_week"":18,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""S1C"",""magnitude"":0.3892146013994061,""start_week"":19,""duration_weeks"":3,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.19514529674547498,""start_week"":38,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.4197745183787762,""start_week"":50,""duration_weeks"":2,""recovery_weeks"":1}]"
A,314,6,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,314,7,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,2,0.878827255086572,126.29546035869885,False,False,True,False,False,"[{""target"":""S1A"",""magnitude"":0.2699758445703745,""start_week"":21,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.15808459557222004,""start_week"":38,""duration_weeks"":3,""recovery_weeks"":2}]"
A,314,8,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,2,0.865682364252074,240.79696744372438,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.15515810566843727,""start_week"":2,""duration_weeks"":10,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.2827619587406629,""start_week"":18,""duration_weeks"":2,""recovery_weeks"":4}]"
A,314,9,Demand-supply coupling,True,True,False,Structural,Concentrated dependency,Concentrated dependency,3,0.8818659162519737,596.1951606175321,False,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.2545116339834575,""start_week"":15,""duration_weeks"":8,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.07948050389166264,""start_week"":19,""duration_weeks"":7,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.23990413619931383,""start_week"":36,""duration_weeks"":6,""recovery_weeks"":4}]"
A,314,10,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,1,0.8021261246042919,222.01806223926656,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.24668673582140732,""start_week"":6,""duration_weeks"":1,""recovery_weeks"":3}]"
A,314,11,Demand-supply coupling,False,,False,Non-failure,Unclassified,Unclassified,4,0.9187896087163188,542.5759910828366,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.08838845206047106,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.2987274447772003,""start_week"":25,""duration_weeks"":11,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.2846444552482257,""start_week"":40,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.07192899236408004,""start_week"":50,""duration_weeks"":1,""recovery_weeks"":1}]"
