topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,2026,1,Independent baseline,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.7963567209348931,499.6737069515772,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.28327895115859625,""start_week"":9,""duration_weeks"":5,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.2610011335654354,""start_week"":41,""duration_weeks"":10,""recovery_weeks"":4}]"
A,2026,2,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,1.0,0.0,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.2023995480738911,""start_week"":37,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.16631062210480793,""start_week"":43,""duration_weeks"":3,""recovery_weeks"":2}]"
A,2026,3,Independent baseline,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.8050928577192138,354.3336636838576,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.0973634348270472,""start_week"":13,""duration_weeks"":3,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.3031337885049201,""start_week"":17,""duration_weeks"":3,""recovery_weeks"":4}]"
A,2026,4,Independent baseline,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency,Hidden convergent dependency,4,0.5429176148494665,3400.107543806972,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.12079909147372199,""start_week"":22,""duration_weeks"":5,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.4724284329285964,""start_week"":29,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.4459351493524164,""start_week"":36,""duration_weeks"":4,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.10671708771984226,""start_week"":49,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2026,5,Independent baseline,True,False,True,Adaptation-limited,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,3,0.7301706450012981,721.0846184402976,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.4517952459403757,""start_week"":15,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.45237201624902634,""start_week"":19,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.40469381115430825,""start_week"":25,""duration_weeks"":2,""recovery_weeks"":4}]"
A,2026,6,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,1.0,0.0,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.21383377950505042,""start_week"":12,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.2551646779525837,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,7,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,2026,8,Independent baseline,True,True,False,Structural,Concentrated dependency,Concentrated dependency,4,0.6704538624348757,615.0112338202175,True,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.5529863526374228,""start_week"":1,""duration_weeks"":11,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.3824679286727683,""start_week"":9,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.5260147436744468,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.07609277933159847,""start_week"":46,""duration_weeks"":8,""recovery_weeks"":1}]"
A,2026,9,Independent baseline,True,True,False,Structural,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,Propagation-amplified cascade,8,0.7351357359638572,850.5753908883848,True,True,True,True,False,"[{""target"":""T2P"",""magnitude"":0.23138019039115187,""start_week"":6,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.08766280177008834,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.320065018339773,""start_week"":18,""duration_weeks"":7,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.3350680259337413,""start_week"":20,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.3376884935108455,""start_week"":23,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.44404105456148646,""start_week"":41,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.34223338149948057,""start_week"":46,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""S1A"",""magnitude"":0.33250056311514065,""start_week"":47,""duration_weeks"":2,""recovery_weeks"":2}]"
A,2026,10,Independent baseline,True,False,True,Adaptation-limited,Concentrated dependency,Concentrated dependency,2,0.7861652159222027,1347.1591396901226,False,True,True,False,False,"[{""target"":""corridor"",""magnitude"":0.410376088058348,""start_week"":2,""duration_weeks"":6,""recovery_weeks"":1},{""target"":""S1A"",""magnitude"":0.21701860260066566,""start_week"":20,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2026,11,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.8615577587929278,210.8049884115635,True,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.09054947935973975,""start_week"":10,""duration_weeks"":6,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.29949337469102166,""start_week"":18,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.3538316809053041,""start_week"":37,""duration_weeks"":2,""recovery_weeks"":1}]"
A,2026,12,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,2026,13,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.7638109885847671,278.30197974445446,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.30922442193828265,""start_week"":50,""duration_weeks"":3,""recovery_weeks"":3}]"
A,2026,14,Independent baseline,True,False,True,Adaptation-limited,Concentrated dependency,Concentrated dependency,3,0.7909460979454364,1718.768947874704,False,True,False,True,True,"[{""target"":""corridor"",""magnitude"":0.4067904265409227,""start_week"":14,""duration_weeks"":8,""recovery_weeks"":3},{""target"":""S1B"",""magnitude"":0.3519840545731532,""start_week"":20,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.24057160439658945,""start_week"":30,""duration_weeks"":6,""recovery_weeks"":1}]"
A,2026,15,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,4,0.819244354505052,202.69652041197094,False,True,True,False,False,"[{""target"":""S1A"",""magnitude"":0.21747498388761033,""start_week"":15,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.2704439402464894,""start_week"":18,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.38556673412121095,""start_week"":31,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.32667316256181766,""start_week"":39,""duration_weeks"":2,""recovery_weeks"":3}]"
A,2026,16,Independent baseline,True,False,True,Adaptation-limited,Concentrated dependency,Concentrated dependency,2,0.7447935890421814,1016.0074068446745,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.4414048082183639,""start_week"":22,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.18385958327747454,""start_week"":42,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,17,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.9836638627525938,34.305888219553026,False,False,True,True,True,"[{""target"":""S1C"",""magnitude"":0.24260353354018205,""start_week"":21,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.2867563088066639,""start_week"":26,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.28522281840185054,""start_week"":51,""duration_weeks"":1,""recovery_weeks"":4}]"
A,2026,18,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.8909754724868171,110.12881700098251,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.12236535222331382,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.24458561118512376,""start_week"":42,""duration_weeks"":1,""recovery_weeks"":2}]"
A,2026,19,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9144683452802058,142.21171499557568,False,False,True,False,False,"[{""target"":""demand"",""magnitude"":0.09205680110871285,""start_week"":43,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""S1A"",""magnitude"":0.44244622311953685,""start_week"":47,""duration_weeks"":5,""recovery_weeks"":2}]"
A,2026,20,Independent baseline,True,True,False,Structural,Concentrated dependency,Concentrated dependency,2,0.8678053503650984,237.9503693428228,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.34914598722617607,""start_week"":15,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.1223339676522385,""start_week"":28,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2026,21,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,1.0,0.0,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.1899094293365083,""start_week"":51,""duration_weeks"":2,""recovery_weeks"":3}]"
A,2026,22,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9084514261736061,90.69688710908474,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.1007743190100941,""start_week"":6,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.3151109158669645,""start_week"":31,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2026,23,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,4,0.9201746346747719,86.82102141319547,True,False,False,True,False,"[{""target"":""T2P"",""magnitude"":0.3322682397360451,""start_week"":15,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.08675023448504605,""start_week"":20,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.07539652079742754,""start_week"":29,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.2710441426002878,""start_week"":44,""duration_weeks"":6,""recovery_weeks"":1}]"
A,2026,24,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,1.0,0.0,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.184152828282316,""start_week"":19,""duration_weeks"":2,""recovery_weeks"":3}]"
A,2026,25,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9269330898479212,131.52043827374177,False,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.4144005478421773,""start_week"":22,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.1775745086027834,""start_week"":43,""duration_weeks"":2,""recovery_weeks"":1}]"
A,2026,26,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9202959508538758,286.9345769260465,False,True,False,False,True,"[{""target"":""corridor"",""magnitude"":0.30977803685959304,""start_week"":21,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""S1C"",""magnitude"":0.38260983054223374,""start_week"":36,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,27,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.9022721825530496,97.48171051154407,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.10831301167949328,""start_week"":36,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2026,28,Independent baseline,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,3,0.42305474927829956,2662.5272829485966,True,False,True,False,False,"[{""target"":""T2P"",""magnitude"":0.4811787384963926,""start_week"":11,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.2661263086115407,""start_week"":13,""duration_weeks"":9,""recovery_weeks"":4},{""target"":""S1A"",""magnitude"":0.24750670206216885,""start_week"":19,""duration_weeks"":3,""recovery_weeks"":1}]"
A,2026,29,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,1.0,0.0,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.16751074910667996,""start_week"":49,""duration_weeks"":2,""recovery_weeks"":1}]"
A,2026,30,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9505816511465663,44.47651396809033,True,False,False,True,False,"[{""target"":""T2P"",""magnitude"":0.42223825698404516,""start_week"":7,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.28022852293332867,""start_week"":50,""duration_weeks"":2,""recovery_weeks"":3}]"
A,2026,31,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.8825977695713266,119.71705688438988,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.13301895209376635,""start_week"":30,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,32,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.913264180656112,182.14522062216474,False,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.4451555935237478,""start_week"":9,""duration_weeks"":4,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.17155548314428481,""start_week"":41,""duration_weeks"":1,""recovery_weeks"":2}]"
A,2026,33,Independent baseline,True,True,True,Structural,Concentrated dependency,Concentrated dependency,4,0.424497453416023,2126.256117765879,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.38411422283891794,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.37589732631095407,""start_week"":45,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.4898706519231416,""start_week"":47,""duration_weeks"":11,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.11924634951326794,""start_week"":49,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,34,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.8836816468479024,118.46632575238527,False,False,False,False,True,"[{""target"":""demand"",""magnitude"":0.13162925083598354,""start_week"":18,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.4271697648016545,""start_week"":24,""duration_weeks"":1,""recovery_weeks"":4}]"
A,2026,35,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.8746025235901824,129.03887849026864,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.14337653165585407,""start_week"":41,""duration_weeks"":1,""recovery_weeks"":2}]"
A,2026,36,Independent baseline,True,True,True,Structural,Concentrated dependency,Concentrated dependency,3,0.8098967572172876,1368.7433480355285,True,True,True,False,False,"[{""target"":""S1A"",""magnitude"":0.22683694942377275,""start_week"":16,""duration_weeks"":5,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.3925774320870342,""start_week"":17,""duration_weeks"":7,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.23787792367116256,""start_week"":23,""duration_weeks"":1,""recovery_weeks"":4}]"
A,2026,37,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.8654945680115609,204.32275522526857,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.1350341479454985,""start_week"":3,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.44210977757919023,""start_week"":11,""duration_weeks"":1,""recovery_weeks"":4}]"
A,2026,38,Independent baseline,True,True,False,Structural,Concentrated dependency,Concentrated dependency,3,0.7010566135490816,827.2703184308613,False,True,False,False,True,"[{""target"":""S1C"",""magnitude"":0.33949030100340305,""start_week"":22,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.35405493931015963,""start_week"":47,""duration_weeks"":3,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.22851716148811363,""start_week"":50,""duration_weeks"":2,""recovery_weeks"":4}]"
A,2026,39,Independent baseline,True,False,False,Adaptation-limited,Concentrated dependency; Recovery lag and temporal overlap,Recovery lag and temporal overlap,4,0.7699547072291512,651.5846972596805,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.21624502435304693,""start_week"":16,""duration_weeks"":8,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.2351514355911326,""start_week"":27,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.08958233091981285,""start_week"":35,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.4225339695781366,""start_week"":39,""duration_weeks"":1,""recovery_weeks"":4}]"
A,2026,40,Independent baseline,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,1,0.531883671935983,1927.8281715456917,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.5213046952576154,""start_week"":42,""duration_weeks"":5,""recovery_weeks"":2}]"
A,2026,41,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9638707890582092,75.8713429777606,False,True,False,False,True,"[{""target"":""corridor"",""magnitude"":0.1873413422645348,""start_week"":42,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.3312907246190291,""start_week"":48,""duration_weeks"":4,""recovery_weeks"":2}]"
A,2026,42,Independent baseline,True,True,False,Structural,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,Hidden convergent dependency,4,0.886735327551015,422.7146334762235,True,False,True,False,True,"[{""target"":""S1C"",""magnitude"":0.23462869382926144,""start_week"":15,""duration_weeks"":9,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.2155616698464719,""start_week"":23,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.16940169215960887,""start_week"":30,""duration_weeks"":5,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.389176026077535,""start_week"":34,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2026,43,Independent baseline,True,False,False,Adaptation-limited,Concentrated dependency; Recovery lag and temporal overlap,Recovery lag and temporal overlap,4,0.7501566778977545,499.5517834100863,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.21889712607796358,""start_week"":19,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.2663694594482473,""start_week"":38,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2585673600145837,""start_week"":42,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.3248589898920209,""start_week"":47,""duration_weeks"":5,""recovery_weeks"":2}]"
