topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,2718,1,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,2,1.0,0.0,False,False,False,True,True,"[{""target"":""S1B"",""magnitude"":0.16669244988961496,""start_week"":39,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.19971624442233243,""start_week"":46,""duration_weeks"":4,""recovery_weeks"":1}]"
A,2718,2,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,1,1.0,0.0,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.26077843625985164,""start_week"":31,""duration_weeks"":1,""recovery_weeks"":2}]"
A,2718,3,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,5,0.9369946978300391,226.8190878118594,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.29725397662747066,""start_week"":27,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.2530104202267012,""start_week"":30,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.11885433208432267,""start_week"":36,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.19670287908116657,""start_week"":46,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.43997933512603427,""start_week"":47,""duration_weeks"":6,""recovery_weeks"":1}]"
A,2718,4,Supplier-cluster shock,True,False,False,Adaptation-limited,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,3,0.7334781540893301,399.8370766495036,True,False,False,True,True,"[{""target"":""T2P"",""magnitude"":0.5199348306598014,""start_week"":1,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.3278710961724328,""start_week"":10,""duration_weeks"":9,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.3924963039379597,""start_week"":41,""duration_weeks"":3,""recovery_weeks"":1}]"
A,2718,5,Supplier-cluster shock,True,True,True,Structural,Hidden convergent dependency; Compounding moderate disturbance,Hidden convergent dependency,2,0.6738337139320449,1860.484340691978,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.2741814679244742,""start_week"":29,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.1968309376114175,""start_week"":30,""duration_weeks"":9,""recovery_weeks"":3}]"
A,2718,6,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,3,0.8598142796270533,167.20051145248158,False,False,True,False,False,"[{""target"":""S1A"",""magnitude"":0.2840457098416486,""start_week"":3,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.08737924306012439,""start_week"":35,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.21873778498021218,""start_week"":38,""duration_weeks"":1,""recovery_weeks"":2}]"
A,2718,7,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,3,0.8378662483152285,174.1571244929719,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.18753319875431118,""start_week"":2,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.19350791610330176,""start_week"":10,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.3799863021531162,""start_week"":49,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2718,8,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,2,1.0,0.0,False,False,True,True,False,"[{""target"":""S1A"",""magnitude"":0.2338930569273506,""start_week"":30,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.2070610855438214,""start_week"":45,""duration_weeks"":3,""recovery_weeks"":4}]"
A,2718,9,Supplier-cluster shock,True,True,False,Structural,Compounding moderate disturbance; Recovery lag and temporal overlap,Compounding moderate disturbance,4,0.880619556540167,267.86425886195116,False,True,True,False,True,"[{""target"":""corridor"",""magnitude"":0.18783581583431203,""start_week"":8,""duration_weeks"":8,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.31487873720785875,""start_week"":18,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""S1A"",""magnitude"":0.4664833896810441,""start_week"":41,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""S1C"",""magnitude"":0.3021226081035798,""start_week"":42,""duration_weeks"":1,""recovery_weeks"":4}]"
A,2718,10,Supplier-cluster shock,True,True,False,Structural,Concentrated dependency,Concentrated dependency,2,0.877066588640437,258.1601638550824,False,False,True,False,True,"[{""target"":""S1C"",""magnitude"":0.5266001755590167,""start_week"":3,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.3184803744593989,""start_week"":18,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2718,11,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.8659050048981891,139.37498329371556,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.15486109254857283,""start_week"":20,""duration_weeks"":2,""recovery_weeks"":1}]"
A,2718,12,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.9804291180490425,35.227587511723414,False,False,False,True,False,"[{""target"":""S1B"",""magnitude"":0.2940344843896543,""start_week"":17,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2718,13,Supplier-cluster shock,True,False,True,Adaptation-limited,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,4,0.8423272466343172,606.1118440374321,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.2419054780291145,""start_week"":9,""duration_weeks"":6,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.08416843285975259,""start_week"":14,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.25194595580395984,""start_week"":30,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.2298503324691908,""start_week"":36,""duration_weeks"":1,""recovery_weeks"":4}]"
A,2718,14,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,1,1.0,0.0,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.22243557879654963,""start_week"":21,""duration_weeks"":2,""recovery_weeks"":1}]"
A,2718,15,Supplier-cluster shock,True,True,True,Structural,Concentrated dependency,Concentrated dependency,3,0.5963967555122625,2542.7004402727466,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.5527024333658032,""start_week"":25,""duration_weeks"":6,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.4435794686457063,""start_week"":44,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.12467642040838722,""start_week"":46,""duration_weeks"":6,""recovery_weeks"":3}]"
A,2718,16,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,3,0.9050993899673854,170.8210980587064,False,False,True,True,True,"[{""target"":""S1A"",""magnitude"":0.46352637257338314,""start_week"":15,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.24981328128570496,""start_week"":33,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""S1C"",""magnitude"":0.2849828159983212,""start_week"":50,""duration_weeks"":1,""recovery_weeks"":1}]"
A,2718,17,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,4,0.9486691165562916,184.79118039735022,False,True,False,True,False,"[{""target"":""corridor"",""magnitude"":0.28849816258278116,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.0807919040686103,""start_week"":22,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.32653748618931955,""start_week"":31,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.2937727021755907,""start_week"":34,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2718,18,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,3,0.939994856934119,108.71243780392308,False,False,True,True,True,"[{""target"":""S1B"",""magnitude"":0.1981317021656773,""start_week"":2,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""S1A"",""magnitude"":0.31407730350135327,""start_week"":26,""duration_weeks"":12,""recovery_weeks"":2},{""target"":""S1C"",""magnitude"":0.3553022048427352,""start_week"":38,""duration_weeks"":1,""recovery_weeks"":3}]"
A,2718,19,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
