topology,topology_description,seed,replications,MC_moderate_failures,MC_severe_failures,FST_baseline_crossings,FST_mechanism_balanced_crossings,RST_passive_pathways,RST_severe_pathways,RST_structural_pathways,RST_adaptation_limited_pathways,MC_upstream_processor_rank,MC_corridor_rank,baseline_FST_upstream_processor_rank,baseline_FST_corridor_rank,mechanism_balanced_FST_upstream_processor_rank,mechanism_balanced_FST_corridor_rank,RST_upstream_processor_rank,RST_corridor_rank,baseline_FST_non_adaptation_coverage,mechanism_balanced_FST_non_adaptation_coverage,RST_non_adaptation_coverage,baseline_FST_CMD_PAC_RL_TO_coverage,mechanism_balanced_FST_CMD_PAC_RL_TO_coverage,RST_CMD_PAC_RL_TO_coverage,baseline_FST_exact_multilabel_signature_coverage,mechanism_balanced_FST_exact_multilabel_signature_coverage,RST_exact_multilabel_signature_coverage
A,"Shared T2P, single corridor",42,1000,496,295,33,46,48,39,41,7,2,1,1,5,1,2,1,2,0.9595687331536388,0.9595687331536388,1.0,0.7252747252747253,0.7032967032967034,1.0,0.7923387096774194,0.8528225806451613,0.8931451612903226
A,"Shared T2P, single corridor",314,1000,484,299,33,46,48,39,41,7,2,1,1,5,1,2,1,2,0.9812332439678284,0.9490616621983914,1.0,0.8428571428571429,0.6857142857142857,1.0,0.8409090909090909,0.8801652892561983,0.9256198347107438
A,"Shared T2P, single corridor",1618,1000,494,286,33,46,48,39,41,7,1,2,1,5,1,2,1,2,0.978891820580475,0.9472295514511874,1.0,0.8426966292134831,0.6741573033707865,1.0,0.7935222672064778,0.8502024291497976,0.9068825910931174
A,"Shared T2P, single corridor",2026,1000,484,287,33,46,48,39,41,7,1,2,1,5,1,2,1,2,0.953168044077135,0.9586776859504132,1.0,0.7411764705882353,0.7294117647058823,1.0,0.7706611570247934,0.8347107438016529,0.890495867768595
A,"Shared T2P, single corridor",2718,1000,497,278,33,46,48,39,41,7,2,1,1,5,1,2,1,2,0.9787798408488063,0.9628647214854111,1.0,0.8181818181818182,0.7532467532467533,1.0,0.7706237424547284,0.8450704225352113,0.8953722334004024
B,S1A/S1B via T2P-A; S1C via T2P-B; single corridor,42,1000,443,190,31,45,44,27,35,9,2,1,1,4,1,2,1,2,0.9535603715170279,0.934984520123839,1.0,0.7950819672131147,0.7295081967213115,1.0,0.7133182844243793,0.8397291196388262,0.8939051918735892
B,S1A/S1B via T2P-A; S1C via T2P-B; single corridor,314,1000,420,203,31,45,44,27,35,9,2,1,1,4,1,2,1,2,0.9741935483870968,0.9419354838709677,1.0,0.8586956521739131,0.7282608695652174,1.0,0.8119047619047619,0.8904761904761904,0.95
B,S1A/S1B via T2P-A; S1C via T2P-B; single corridor,1618,1000,432,186,31,45,44,27,35,9,2,1,1,4,1,2,1,2,0.9741935483870968,0.932258064516129,1.0,0.8761061946902655,0.6991150442477876,1.0,0.7476851851851852,0.8541666666666666,0.9166666666666666
B,S1A/S1B via T2P-A; S1C via T2P-B; single corridor,2026,1000,420,207,31,45,44,27,35,9,2,1,1,4,1,2,1,2,0.946843853820598,0.9368770764119602,1.0,0.7636363636363637,0.7272727272727273,1.0,0.7166666666666667,0.819047619047619,0.8809523809523809
B,S1A/S1B via T2P-A; S1C via T2P-B; single corridor,2718,1000,418,175,31,45,44,27,35,9,2,1,1,4,1,2,1,2,0.9663299663299664,0.9393939393939394,1.0,0.8367346938775511,0.7346938775510204,1.0,0.7440191387559809,0.8588516746411483,0.9114832535885168
