pathway_id,generation_family,mechanism_labels,primary_mechanism,passive_failure,passive_severe_failure,active_failure,classification,passive_cumulative_shortfall,active_cumulative_shortfall,plausibility,controllability,structural_weight,elements,event_specification
RST-01,Concentrated dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,False,True,Structural,0.42222222222222217,0.29999999999999993,0.6565467905537908,0.2894736842105263,0.4100709257328937,T2P,"[{""target"":""T2P"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
RST-02,Concentrated dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,1.2296296296296303,0.9296296296296302,0.4023193950516252,0.24397590361445776,0.4087990432152089,T2P,"[{""target"":""T2P"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
RST-03,Concentrated dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,2.288888888888889,1.9888888888888892,0.19331178181958125,0.1310679611650486,0.47619952349035377,T2P,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
RST-04,Concentrated dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,3.522222222222222,3.2222222222222223,0.04206879122093688,0.08517350157728698,0.6057692307692308,T2P,"[{""target"":""T2P"",""magnitude"":0.75,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":3}]"
RST-05,Concentrated dependency,Concentrated dependency,Concentrated dependency,True,True,False,Adaptation-limited,0.5000000000000004,0.3333333333333336,0.6565467905537908,0.33333333333333337,0.42353246419443225,corridor,"[{""target"":""corridor"",""magnitude"":0.45,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
RST-06,Concentrated dependency,Concentrated dependency,Concentrated dependency,True,True,True,Structural,1.2555555555555558,0.4555555555555557,0.4023193950516252,0.6371681415929202,0.4132862227023883,corridor,"[{""target"":""corridor"",""magnitude"":0.55,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
RST-07,Concentrated dependency,Concentrated dependency,Concentrated dependency,True,True,True,Structural,2.3111111111111113,1.0666666666666669,0.19331178181958125,0.5384615384615384,0.4800456773365075,corridor,"[{""target"":""corridor"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
RST-08,Concentrated dependency,Concentrated dependency,Concentrated dependency,True,True,True,Structural,3.6333333333333333,2.0,0.04206879122093688,0.4495412844036697,0.625,corridor,"[{""target"":""corridor"",""magnitude"":0.75,""start_week"":12,""duration_weeks"":5,""recovery_weeks"":3}]"
RST-09,Hidden convergent dependency,Unclassified,Unclassified,False,False,,Non-failure,0.0,0.0,0.5697333546253079,0.0,0.0,T2P,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
RST-10,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,False,True,Structural,0.022222222222222365,0.022222222222222365,0.3996570480768602,0.0,0.19834792712256882,T2P,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":7,""recovery_weeks"":3}]"
RST-11,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,False,False,Adaptation-limited,0.25555555555555565,0.13333333333333341,0.6443726060652706,0.4782608695652173,0.37447196551961515,T2P,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
RST-12,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,0.6222222222222223,0.5000000000000001,0.45201505495672795,0.1964285714285714,0.3312361480214874,T2P,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":7,""recovery_weeks"":3}]"
RST-13,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,0.7851851851851854,0.551851851851852,0.5673790577088427,0.2971698113207547,0.4234316628562968,T2P,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
RST-14,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,1.4851851851851856,1.2518518518518522,0.39800555383259256,0.15710723192019949,0.45063700046928123,T2P,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":7,""recovery_weeks"":3}]"
RST-15,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,1.3148148148148149,1.014814814814815,0.43251150539123406,0.22816901408450685,0.4402896664155772,T2P,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
RST-16,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,2.348148148148148,2.0481481481481483,0.3033985461806439,0.12776025236593047,0.5475191289048903,T2P,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":7,""recovery_weeks"":3}]"
RST-17,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,True,True,True,Structural,1.955555555555556,1.655555555555556,0.2738992286327165,0.15340909090909094,0.46320765749606835,T2P,"[{""target"":""T2P"",""magnitude"":0.6,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
