cohort,topology,threshold,method,numerator,denominator,coverage,structural_only_numerator,structural_only_denominator,structural_only_coverage,focal_numerator,focal_denominator,focal_coverage,observed_unique_signature_numerator,observed_unique_signature_denominator,observed_unique_signature_coverage,unclassified_failures,bootstrap_lower_95,bootstrap_upper_95,mean_seed_coverage,sd_seed_coverage,discovered_signature_count
archived,A,moderate,FST-original,1948,2455,0.7934826883910387,1510,1863,0.8105206655931294,752,1259,0.5972994440031771,4,15,0.26666666666666666,0,0.7776885625337411,0.8088842334110657,0.7936109934545019,0.028696015846530327,4
archived,A,moderate,MI-FST,2093,2455,0.8525458248472505,1627,1863,0.8733225979602791,897,1259,0.7124702144559174,5,15,0.3333333333333333,0,0.8382113821138212,0.8666401576943991,0.8525942930776044,0.01689942988081818,5
archived,A,moderate,RST,2215,2455,0.9022403258655805,1709,1863,0.917337627482555,1019,1259,0.8093725178713265,7,15,0.4666666666666667,0,0.890282537739698,0.9137289425035771,0.9023031376526361,0.014456463454403474,7
archived,A,moderate,MI-C,2093,2455,0.8525458248472505,1627,1863,0.8733225979602791,897,1259,0.7124702144559174,5,15,0.3333333333333333,0,0.838514331853048,0.866178091862602,0.8525942930776044,0.01689942988081818,5
archived,A,moderate,MI-M,2133,2455,0.8688391038696538,1650,1863,0.8856682769726248,937,1259,0.744241461477363,6,15,0.4,0,0.8551890003104522,0.8820364791307709,0.8689125224874796,0.012094042690049725,6
archived,A,moderate,MI-MD,2133,2455,0.8688391038696538,1650,1863,0.8856682769726248,937,1259,0.744241461477363,6,15,0.4,0,0.8550428746427113,0.8822567623061706,0.8689125224874796,0.012094042690049725,6
archived,A,moderate,MI-MDA,2215,2455,0.9022403258655805,1709,1863,0.917337627482555,1019,1259,0.8093725178713265,7,15,0.4666666666666667,0,0.8902195608782435,0.9138759867692272,0.9023031376526361,0.014456463454403474,7
archived,A,severe,FST-original,994,1445,0.6878892733564014,477,661,0.7216338880484114,486,937,0.5186766275346851,3,16,0.1875,0,0.6641379310344827,0.7116614203018246,0.687502931220371,0.017527514468590254,3
archived,A,severe,MI-FST,1188,1445,0.8221453287197232,555,661,0.8396369137670197,680,937,0.7257203842049093,6,16,0.375,0,0.8022561380225613,0.8416390790831065,0.8220101814027135,0.007509340555448311,6
archived,A,severe,RST,1284,1445,0.8885813148788927,579,661,0.875945537065053,812,937,0.8665955176093917,8,16,0.5,0,0.8726537568220151,0.9046303165997865,0.8883150581228371,0.02044958079454413,8
