cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,support_method,monte_carlo_frequency,rst_numerator,comparator_numerator,paired_denominator,observed_delta_pp,per_seed_delta_mean_pp,per_seed_delta_sd_pp,delta_pp_lower_95,delta_pp_upper_95
archived,A,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,48.0,,,,,,,,
archived,A,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-41;RST-42;RST-43;RST-44;RST-45,RST,179.0,,,,,,,,
archived,A,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,40.0,,,,,,,,
archived,A,moderate,FST-original,paired_delta_summary,,,,,2215.0,1948.0,2455.0,10.875763747454176,10.869214419813428,1.6132627453635355,9.670834396111982,12.118780096308186
archived,A,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,82.0,,,,,,,,
archived,A,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,40.0,,,,,,,,
archived,A,moderate,MI-FST,paired_delta_summary,,,,,2215.0,2093.0,2455.0,4.969450101832994,4.970884457503198,0.6929521226011457,4.139322653350121,5.839170497314276
archived,A,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,RST,82.0,,,,,,,,
archived,A,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,40.0,,,,,,,,
archived,A,moderate,MI-C,paired_delta_summary,,,,,2215.0,2093.0,2455.0,4.969450101832994,4.970884457503198,0.6929521226011457,4.149857807714272,5.827220863895681
archived,A,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,RST,82.0,,,,,,,,
archived,A,moderate,MI-M,paired_delta_summary,,,,,2215.0,2133.0,2455.0,3.340122199592668,3.3390615165156534,0.8752494089168142,2.6552197206316155,4.068383730391507
archived,A,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,82.0,,,,,,,,
archived,A,moderate,MI-MD,paired_delta_summary,,,,,2215.0,2133.0,2455.0,3.340122199592668,3.3390615165156534,0.8752494089168142,2.638080083868329,4.060104726323668
archived,A,moderate,MI-MDA,paired_delta_summary,,,,,2215.0,2215.0,2455.0,0.0,0.0,0.0,0.0,0.0
archived,A,severe,FST-original,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
archived,A,severe,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,53.0,,,,,,,,
archived,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-42;RST-43;RST-44;RST-45,RST,116.0,,,,,,,,
archived,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,RST,25.0,,,,,,,,
archived,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,19.0,,,,,,,,
archived,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,61.0,,,,,,,,
archived,A,severe,FST-original,lost,Concentrated dependency; Hidden convergent dependency,FST-48,FST-original,36.0,,,,,,,,
archived,A,severe,FST-original,paired_delta_summary,,,,,1284.0,994.0,1445.0,20.069204152249135,20.08121269024661,1.3595743741940494,17.706881507989284,22.47608344371744
archived,A,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
archived,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,19.0,,,,,,,,
archived,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,61.0,,,,,,,,
archived,A,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-37;FST-MI-38;FST-MI-39;FST-MI-40,MI-FST,36.0,,,,,,,,
archived,A,severe,MI-FST,paired_delta_summary,,,,,1284.0,1188.0,1445.0,6.643598615916955,6.630487672012366,1.8501904408373948,4.981624184943687,8.411843876177658
archived,A,severe,MI-C,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
archived,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,19.0,,,,,,,,
archived,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,61.0,,,,,,,,
archived,A,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-37;FST-MI-38;FST-MI-39;FST-MI-40,MI-C,36.0,,,,,,,,
archived,A,severe,MI-C,paired_delta_summary,,,,,1284.0,1188.0,1445.0,6.643598615916955,6.630487672012366,1.8501904408373948,4.912256767430172,8.345458914705395
archived,A,severe,MI-M,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
archived,A,severe,MI-M,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-40,MI-M,36.0,,,,,,,,
