architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,attribution_pair_iterations,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,baseline_memory_mb,peak_memory_mb,incremental_peak_memory_mb,memory_measurement,node_count,edge_count
shared,3,52,4,50,1,completed,50,50,200,600,0.5861214999458753,0.5705671998439357,1.59035629988648,2.9226597999804653,600,253,347,968.21875,968.33203125,0.11328125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,3,52,4,50,2,completed,50,50,200,600,0.5914693000377156,0.562433100072667,1.573565200145822,2.9056437999824993,600,253,347,968.33203125,968.33203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,3,52,4,50,3,completed,50,50,200,600,0.6122856001020409,0.5873734001070261,1.6478649002383463,3.0259044999838807,600,253,347,968.33203125,968.33203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,3,52,4,50,4,completed,50,50,200,600,0.5621556998230517,0.5780908998567611,1.4757315999013372,2.7788346000015736,600,253,347,968.33203125,968.33203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,3,52,4,50,5,completed,50,50,200,600,0.6084762001992203,0.604811200289987,1.5404825999285094,2.9341762000112794,600,253,347,968.33203125,968.33203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,9,52,4,50,1,completed,50,50,200,600,0.8582212001201697,0.8292775003355928,2.4020907998783514,4.238330700027291,600,253,347,951.33203125,951.33203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,9,52,4,50,2,completed,50,50,200,600,0.8425114001147449,0.8194005000405014,2.369462000206113,4.179255299968645,600,253,347,950.34375,950.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,9,52,4,50,3,completed,50,50,200,600,0.79092480026884,0.8170789001160301,2.3432939001359046,4.098746300034691,600,253,347,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,9,52,4,50,4,completed,50,50,200,600,0.8043683999567293,0.7859527000109665,2.3304839998017997,4.0722550000064075,600,253,347,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,9,52,4,50,5,completed,50,50,200,600,0.8325624001445249,0.7807986002299003,2.193401599826757,3.949238100030925,600,253,347,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,30,52,1,50,1,completed,50,50,50,0,1.671055400162004,1.6909392001107335,1.7804359002038836,5.29466059996048,250,151,99,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,1,50,2,completed,50,50,50,0,1.708186299947556,1.7365233996533789,1.8655259998049587,5.460252699966077,250,151,99,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,1,50,3,completed,50,50,50,0,1.6854130998253822,1.6655455000000075,1.8174544000648893,5.320197099994402,250,151,99,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,1,50,4,completed,50,50,50,0,1.5947317000245675,1.7213037000619806,1.7874552000430413,5.2484564000042155,250,151,99,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,1,50,5,completed,50,50,50,0,1.9782343999831937,1.9478184998733923,2.187708299898077,6.277392000018153,250,151,99,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,2,50,1,completed,50,50,100,100,1.9672706002020277,2.4421751999179833,4.360917200159747,8.96923779998906,350,201,149,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,2,50,2,completed,50,50,100,100,2.4248757999157533,2.349895299936179,4.738781099906191,9.692969100025948,350,201,149,949.34375,949.34375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,2,50,3,completed,50,50,100,100,2.316256299847737,2.547713799867779,4.847601200104691,9.883275399974082,350,201,149,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,2,50,4,completed,50,50,100,100,2.725643200043123,2.5400120999547653,5.524558800039813,11.016009200015105,350,201,149,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,2,50,5,completed,50,50,100,100,2.4306750003015622,2.444303200347349,4.916323099925648,9.988134199986234,350,201,149,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,50,1,completed,50,50,200,600,1.9316780999070033,1.9628635001718067,5.807835699815769,9.848388799990062,600,253,347,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,50,2,completed,50,50,200,600,1.7862517000176013,1.83740569971269,5.515779500128701,9.285752800002228,600,253,347,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,50,3,completed,50,50,200,600,2.105658399814274,2.1203632997348905,6.265224100148771,10.656281399948057,600,253,347,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,50,4,completed,50,50,200,600,1.8828339999890886,1.8704329000902362,5.62588539958233,9.539791999966837,600,253,347,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,50,5,completed,50,50,200,600,1.8652682003448717,1.864338000130374,5.504798000387382,9.383491999993566,600,253,347,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,100,1,completed,100,100,400,1200,3.6026911005028524,3.5631314000929706,10.580583400034811,18.039250300033018,1200,503,697,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,100,2,completed,100,100,400,1200,4.014289900136646,4.046533600077964,11.999568799918052,20.39168800000334,1200,503,697,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,100,3,completed,100,100,400,1200,3.71062379993964,3.8825963999843225,10.920836100180168,18.809132599970326,1200,503,697,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,100,4,completed,100,100,400,1200,3.6731809994671494,3.6292910001939163,10.760867699806113,18.339356799959205,1200,503,697,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,100,5,completed,100,100,400,1200,3.855990899784956,3.781078399741091,11.069965099915862,19.000347399967723,1200,503,697,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,1,completed,200,200,800,2400,6.962405200756621,7.211903499672189,20.440512900124304,35.18447769997874,2400,1003,1397,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,2,completed,200,200,800,2400,7.200325499696191,7.215816199663095,21.10547210002551,36.10565459995996,2400,1003,1397,949.33984375,949.33984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,3,completed,200,200,800,2400,6.9207502994686365,7.082783900201321,20.236864798993338,34.80152859998634,2400,1003,1397,949.3359375,949.3359375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,4,completed,200,200,800,2400,7.085873500094749,7.149792000069283,20.807264200237114,35.61995939997723,2400,1003,1397,949.33203125,949.33203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,200,5,completed,200,200,800,2400,6.9938577999710105,6.870630400197115,20.66753710032208,35.09110459999647,2400,1003,1397,949.33203125,949.33203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,1,completed,500,500,2000,6000,17.844720399938524,17.578358099097386,52.04071609914536,88.91198779997649,6000,2503,3497,949.33203125,949.33203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,2,completed,500,500,2000,6000,17.853374098718632,17.626088100194465,51.538570400327444,88.43250080000143,6000,2503,3497,949.32421875,949.32421875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,3,completed,500,500,2000,6000,17.74272140074754,17.785446499940008,52.36961869942024,89.32704030000605,6000,2503,3497,949.32421875,949.32421875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,4,completed,500,500,2000,6000,17.759427200246137,17.82455470127752,52.03745500074001,89.04502540000249,6000,2503,3497,949.3203125,949.3203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,4,500,5,completed,500,500,2000,6000,17.94160759996157,18.06982220133068,52.41191360040102,89.84654340002453,6000,2503,3497,949.3203125,949.3203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,1,completed,50,50,400,2800,1.8739536999491975,1.9694328001351096,5.666756200022064,9.654010600002948,1400,253,1147,949.3203125,949.3203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,2,completed,50,50,400,2800,1.9195016996818595,1.8754492001608014,5.611582599813119,9.544609200034756,1400,253,1147,949.3203125,949.3203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,3,completed,50,50,400,2800,1.9562036999850534,1.889877800422255,5.671129600028507,9.660934099985752,1400,253,1147,949.3203125,949.3203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,4,completed,50,50,400,2800,1.9129495000233874,1.9626744001870975,5.591454199980944,9.610172999964561,1400,253,1147,949.3203125,949.3203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,8,50,5,completed,50,50,400,2800,1.8988989000790752,1.941328099812381,5.715683499991428,9.696356599975843,1400,253,1147,949.3203125,949.3203125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,1,completed,50,50,800,12000,2.58227740006987,2.6043388001271524,8.066180499852635,13.400796900037676,4200,253,3947,949.32421875,953.0390625,3.71484375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,2,completed,50,50,800,12000,2.2584728001384065,2.3518507002154365,7.286585299996659,12.040470500010997,4200,253,3947,953.0390625,953.4140625,0.375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,3,completed,50,50,800,12000,2.3573750999057665,2.3656621000845917,7.418082900054287,12.289234199968632,4200,253,3947,953.4140625,953.4140625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,4,completed,50,50,800,12000,2.4324926999397576,2.4128632996580563,7.444770099886227,12.43000170000596,4200,253,3947,953.40234375,953.91015625,0.5078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,52,16,50,5,completed,50,50,800,12000,2.2825566999963485,2.3246167001198046,7.314504400070291,12.076139000011608,4200,253,3947,953.91015625,954.16796875,0.2578125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,1,completed,50,50,200,600,3.3466788002988324,3.411009899864439,10.045216100057587,16.934106800006703,600,253,347,954.16796875,957.03515625,2.8671875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,2,completed,50,50,200,600,3.3667126000509597,3.626536900002975,10.10877279995475,17.248758600035217,600,253,347,954.6015625,957.109375,2.5078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,3,completed,50,50,200,600,3.377261300222017,3.355042500072159,9.892284599947743,16.768391599995084,600,253,347,955.98828125,957.1171875,1.12890625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,4,completed,50,50,200,600,3.722002900147345,3.5556798999896273,10.983644499909133,18.426220300025307,600,253,347,955.15234375,956.65625,1.50390625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,104,4,50,5,completed,50,50,200,600,3.8779953999910504,3.9475696003064513,11.50432760012336,19.494836000027135,600,253,347,954.0390625,956.796875,2.7578125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,1,completed,50,50,200,600,7.740226399968378,7.6754888001596555,22.9792327999603,38.55502020003041,600,253,347,948.765625,966.09765625,17.33203125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,2,completed,50,50,200,600,7.2424434996792115,7.210111399937887,21.904694400087465,36.52594949997729,600,253,347,949.0,951.078125,2.078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,3,completed,50,50,200,600,6.80693710030755,6.956684299744666,21.025794200249948,34.944140399980824,600,253,347,909.3125,925.91796875,16.60546875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,4,completed,50,50,200,600,7.223445900192019,7.034494800202083,21.528461899841204,35.936246299999766,600,253,347,908.6796875,925.5546875,16.875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,30,208,4,50,5,completed,50,50,200,600,6.700770399940666,6.764735300035682,20.293103000032715,33.897367500001565,600,253,347,908.44921875,925.62890625,17.1796875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
shared,90,52,4,50,1,completed,50,50,200,600,4.534984999627341,4.50783290003892,13.624092099955305,22.80984310002532,600,253,347,908.28125,908.67578125,0.39453125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,90,52,4,50,2,completed,50,50,200,600,4.380610500113107,4.408839299925603,13.619158399815205,22.548535000008997,600,253,347,908.546875,908.546875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,90,52,4,50,3,completed,50,50,200,600,4.437085100042168,4.4964211996411905,13.693570500297938,22.765403199999128,600,253,347,908.546875,908.546875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,90,52,4,50,4,completed,50,50,200,600,4.988124800031073,4.669733700284269,14.505192500015255,24.312942299991846,600,253,347,908.546875,908.546875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,90,52,4,50,5,completed,50,50,200,600,4.38037109997822,4.314175600069575,13.259019000281114,22.10254359996179,600,253,347,908.546875,908.546875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,93,181
shared,300,52,4,50,1,completed,50,50,200,600,14.344388200028334,14.276900199765805,44.34474720014259,73.18761319998885,600,253,347,908.55078125,908.7890625,0.23828125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
shared,300,52,4,50,2,completed,50,50,200,600,14.927417200233322,14.903560099948663,46.45969720004359,76.43752009997843,600,253,347,889.7890625,890.03515625,0.24609375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
shared,300,52,4,50,3,completed,50,50,200,600,14.787625799828675,14.809362099913415,45.996391299995594,75.74146699998528,600,253,347,890.03515625,890.03515625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
shared,300,52,4,50,4,completed,50,50,200,600,14.53890350018628,14.286330399976578,44.87432130012894,73.84168670000508,600,253,347,890.03515625,890.03515625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
shared,300,52,4,50,5,completed,50,50,200,600,14.559545300144237,14.37762299971655,44.26407110015862,73.35234990000026,600,253,347,890.03515625,890.03515625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,303,601
partitioned,3,52,4,50,1,completed,50,50,200,600,0.48446980048902333,0.4643581000273116,1.3000667999731377,2.3998885999899358,600,253,347,835.38671875,835.3984375,0.01171875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,3,52,4,50,2,completed,50,50,200,600,0.460315499920398,0.46222860022680834,1.2707347000250593,2.344515400007367,600,253,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,3,52,4,50,3,completed,50,50,200,600,0.5123536000028253,0.5069858998758718,1.3982451999909244,2.585489700024482,600,253,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,3,52,4,50,4,completed,50,50,200,600,0.5274280000594445,0.511760100023821,1.4072564000380225,2.618458900018595,600,253,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,3,52,4,50,5,completed,50,50,200,600,0.4930784001480788,0.4859792001079768,1.3200999003020115,2.4468322999891825,600,253,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
partitioned,9,52,4,50,1,completed,50,50,200,600,0.8396476001944393,0.850230100157205,3.3464921002741903,5.1841498000430875,650,303,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,9,52,4,50,2,completed,50,50,200,600,0.7930642001447268,0.9098231001989916,3.02017350011738,4.863887900020927,650,303,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,9,52,4,50,3,completed,50,50,200,600,0.7742745999712497,0.7536241998896003,2.8518921997747384,4.512657199986279,650,303,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,9,52,4,50,4,completed,50,50,200,600,0.7735902002896182,0.7856027001398616,2.9555917996913195,4.6549171000369824,650,303,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,9,52,4,50,5,completed,50,50,200,600,0.7832737999269739,0.7686872998601757,3.001932200335432,4.69828559999587,650,303,347,835.3984375,835.3984375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,14,19
partitioned,30,52,1,50,1,completed,50,0,0,0,1.8050282998592593,0.0,0.0,1.9423610999947414,50,50,0,835.41015625,835.41015625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,1,50,2,completed,50,0,0,0,1.8512614999781363,0.0,0.0,1.9986882000230253,50,50,0,835.41015625,835.41015625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,1,50,3,completed,50,0,0,0,1.6291027999250218,0.0,0.0,1.7659510999801569,50,50,0,835.41015625,835.41015625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,1,50,4,completed,50,0,0,0,1.743744800100103,0.0,0.0,1.8845301999826916,50,50,0,835.41015625,835.4453125,0.03515625,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,1,50,5,completed,50,0,0,0,1.8132794004050083,0.0,0.0,1.954298699973151,50,50,0,835.4453125,835.4453125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,1,completed,50,50,100,100,1.934501999989152,1.9699818001245148,3.8300273002823815,7.886241999978665,350,201,149,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,2,completed,50,50,100,100,1.8980712001211941,1.8408398000174202,3.829810400144197,7.7151512000127696,350,201,149,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,3,completed,50,50,100,100,1.98926799983019,1.9278657000977546,3.743341900059022,7.811394200020004,350,201,149,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,4,completed,50,50,100,100,1.8863568998640403,1.8557277000509202,3.81201339996187,7.711796700023115,350,201,149,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,2,50,5,completed,50,50,100,100,1.9831943001481704,1.9076277997810394,3.916664099728223,7.964894799981266,350,201,149,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,1,completed,50,50,200,600,1.9514331000391394,1.9989773998968303,7.823078399873339,11.920440700021572,650,303,347,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,2,completed,50,50,200,600,2.2421774001559243,2.2927070000441745,8.769159900082741,13.467953300045338,650,303,347,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,3,completed,50,50,200,600,2.146933000010904,2.232128999836277,8.84897369967075,13.382297699979972,650,303,347,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,4,completed,50,50,200,600,2.050917199871037,1.9989708999055438,7.8712162001174875,12.067432600015309,650,303,347,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,50,5,completed,50,50,200,600,2.0851407001027837,2.1403367000166327,8.304092599835712,12.682831800018903,650,303,347,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,1,completed,100,100,400,1200,3.92964980029501,4.006006300332956,15.76208370004315,23.99901869997848,1300,603,697,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,2,completed,100,100,400,1200,4.213209599838592,4.056274199858308,16.163811300008092,24.74243549996754,1300,603,697,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,3,completed,100,100,400,1200,4.1495111000258476,4.154881000111345,17.026113999949303,25.639381900022272,1300,603,697,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,4,completed,100,100,400,1200,4.291665700031444,4.3784571995493025,16.82023179985117,25.815246899961494,1300,603,697,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,100,5,completed,100,100,400,1200,4.164739100204315,4.162248599692248,16.280563900305424,24.90312620002078,1300,603,697,835.44921875,835.44921875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,1,completed,200,200,800,2400,8.18312329967739,8.021455699577928,31.816901300335303,48.60130009998102,2600,1203,1397,835.453125,835.453125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,2,completed,200,200,800,2400,7.942644000402652,7.945840199885424,31.088506599655375,47.55006790003972,2600,1203,1397,516.62890625,516.62890625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,3,completed,200,200,800,2400,8.071853599976748,7.88158019981347,31.263153000036255,47.80972289998317,2600,1203,1397,516.62890625,516.62890625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,4,completed,200,200,800,2400,7.95325710013276,7.9871302001411095,30.987300300155766,47.49625979998382,2600,1203,1397,516.62890625,516.63671875,0.0078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,200,5,completed,200,200,800,2400,8.058748100302182,8.187722000235226,31.976378900231794,48.807819599984214,2600,1203,1397,516.63671875,516.63671875,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,500,1,timeout,496,496,1984,5952,19.97566630062647,20.075512399489526,78.51088340085698,120.00130419997731,6448,2979,3469,516.640625,554.3984375,37.7578125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,500,2,completed,500,500,2000,6000,19.541375400556717,19.705879900080618,76.61779669992393,117.2585605000495,6500,3003,3497,554.3984375,556.796875,2.3984375,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,500,3,timeout,500,500,2000,6000,20.12375509989215,19.898143199912738,78.42847620084649,120.0166294000228,6500,3003,3497,556.796875,557.078125,0.28125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,500,4,timeout,477,477,1908,5724,20.344222800224088,20.053645799460355,78.28825940017123,120.09107389999554,6201,2865,3336,557.078125,557.078125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,4,500,5,completed,500,500,2000,6000,20.008411400776822,19.78252150089247,77.80239939986495,119.0211205999949,6500,3003,3497,553.10546875,553.15234375,0.046875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,8,50,1,completed,50,50,400,2800,2.164346600184217,2.0855201000813395,12.822406100051012,17.220139399985783,1550,405,1145,553.17578125,553.49609375,0.3203125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,8,50,2,completed,50,50,400,2800,2.704280700185336,2.617972099687904,17.671795000089332,23.158538400020916,1550,405,1145,553.49609375,553.49609375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
partitioned,30,52,8,50,3,completed,50,50,400,2800,2.339443000208121,2.2183213999378495,13.127970400208142,17.85037729999749,1550,405,1145,553.49609375,553.49609375,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,42,61
