architecture,n,horizon,K,B,total_repetitions,completed_repetitions,timeout_repetitions,partial_timeout_repetitions,partial_timeout_candidates,median_seconds,iqr_seconds,incremental_peak_memory_mb,peak_memory_mb,median_unique_simulations,median_cache_hits,median_attribution_pair_iterations
partitioned,3,52,4,50,5,5,0,0,0,2.4468322999891825,0.1856011000345461,0.0,835.3984375,253.0,347.0,600.0
partitioned,9,52,4,50,5,5,0,0,0,4.69828559999587,0.20897079998394474,0.0,835.3984375,303.0,347.0,600.0
partitioned,30,52,1,50,5,5,0,0,0,1.9423610999947414,0.06976849999045953,0.0,835.41015625,50.0,0.0,0.0
partitioned,30,52,2,50,5,5,0,0,0,7.811394200020004,0.1710907999658957,0.0,835.44921875,201.0,149.0,100.0
partitioned,30,52,4,50,5,5,0,0,0,12.682831800018903,1.3148650999646634,0.0,835.44921875,303.0,347.0,600.0
partitioned,30,52,4,100,5,5,0,0,0,24.90312620002078,0.8969464000547305,0.0,835.44921875,603.0,697.0,1200.0
partitioned,30,52,4,200,5,5,0,0,0,47.80972289998317,1.0512321999412961,0.0,516.63671875,1203.0,1397.0,2400.0
partitioned,30,52,4,500,5,2,3,3,1473,118.1398405500222,0.8812800499727018,1.22265625,554.974609375,3003.0,3497.0,6000.0
partitioned,30,52,8,50,5,5,0,0,0,17.85037729999749,1.217322200012859,0.0,553.49609375,405.0,1145.0,2800.0
partitioned,30,52,16,50,5,5,0,0,0,32.10779670003103,0.8560040000011213,0.0,536.26953125,609.0,3941.0,12000.0
partitioned,30,104,4,50,5,5,0,0,0,23.185123100003693,2.032455100037623,8.62890625,539.12890625,303.0,347.0,600.0
partitioned,30,208,4,50,5,5,0,0,0,44.58352320000995,2.8873872000258416,20.05078125,544.6875,303.0,347.0,600.0
partitioned,90,52,4,50,5,5,0,0,0,34.824571900011506,0.4662555000395514,0.0,519.62109375,303.0,347.0,600.0
partitioned,300,52,4,50,5,0,5,5,188,,,,,,,
shared,3,52,4,50,5,5,0,0,0,2.9226597999804653,0.028532400028780103,0.0,968.33203125,253.0,347.0,600.0
shared,9,52,4,50,5,5,0,0,0,4.098746300034691,0.10700029996223748,0.0,949.34375,253.0,347.0,600.0
shared,30,52,1,50,5,5,0,0,0,5.320197099994402,0.16559210000559688,0.0,949.34375,151.0,99.0,0.0
shared,30,52,2,50,5,5,0,0,0,9.883275399974082,0.29516509996028617,0.0,949.33984375,201.0,149.0,100.0
shared,30,52,4,50,5,5,0,0,0,9.539791999966837,0.46489679999649525,0.0,949.33984375,253.0,347.0,600.0
shared,30,52,4,100,5,5,0,0,0,18.809132599970326,0.6609906000085175,0.0,949.33984375,503.0,697.0,1200.0
shared,30,52,4,200,5,5,0,0,0,35.18447769997874,0.5288547999807633,0.0,949.3359375,1003.0,1397.0,2400.0
shared,30,52,4,500,5,5,0,0,0,89.04502540000249,0.4150525000295602,0.0,949.32421875,2503.0,3497.0,6000.0
shared,30,52,8,50,5,5,0,0,0,9.654010600002948,0.05076110002119094,0.0,949.3203125,253.0,1147.0,2800.0
shared,30,52,16,50,5,5,0,0,0,12.289234199968632,0.3538626999943517,0.375,953.4140625,253.0,3947.0,12000.0
shared,30,104,4,50,5,5,0,0,0,17.248758600035217,1.492113500018604,2.5078125,957.03515625,253.0,347.0,600.0
shared,30,208,4,50,5,5,0,0,0,35.936246299999766,1.5818090999964625,16.875,925.91796875,253.0,347.0,600.0
shared,90,52,4,50,5,5,0,0,0,22.765403199999128,0.261308100016322,0.0,908.546875,253.0,347.0,600.0
shared,300,52,4,50,5,5,0,0,0,73.84168670000508,2.3891170999850146,0.0,890.03515625,253.0,347.0,600.0
