topology,method,purpose,requested_calls,unique_simulations,cache_hits,elapsed_seconds
A,FST-original,candidate_passive,50,50,0,0.40032910025911406
A,FST-original,candidate_active,33,33,0,0.27597890014294535
A,FST-original,singleton,51,6,45,0.060204500041436404
A,FST-original,upstream_node_deletion,15,1,14,0.005174499994609505
A,FST-original,direct_impact,15,9,6,0.08144060004269704
A,MI-FST,candidate_passive,50,50,0,0.6007299998309463
A,MI-FST,candidate_active,46,46,0,0.5614448999986053
A,MI-FST,singleton,129,20,109,0.20391039998503402
A,MI-FST,upstream_node_deletion,63,1,62,0.005118600034620613
A,MI-FST,direct_impact,63,36,27,0.45088559994474053
A,MI-FST,later_event_deletion,16,0,16,0.0
A,RST,candidate_passive,50,50,0,0.48412719991756603
A,RST,candidate_active,48,48,0,0.4219139997730963
A,RST,singleton,125,30,95,0.25302450003800914
A,RST,upstream_node_deletion,69,1,68,0.016788600012660027
A,RST,direct_impact,69,39,30,0.3798683002241887
A,RST,later_event_deletion,12,0,12,0.0
A,MI-C,candidate_passive,50,50,0,0.4043092002393678
A,MI-C,candidate_active,45,45,0,0.36016440007369965
A,MI-C,singleton,123,22,101,0.15067060006549582
A,MI-C,upstream_node_deletion,60,1,59,0.007173599966336042
A,MI-C,direct_impact,60,35,25,0.31923080002889037
A,MI-C,later_event_deletion,16,0,16,0.0
A,MI-M,candidate_passive,50,50,0,0.41716199985239655
A,MI-M,candidate_active,42,42,0,0.3511454999097623
A,MI-M,singleton,111,23,88,0.18009229993913323
A,MI-M,upstream_node_deletion,54,1,53,0.005218399979639798
A,MI-M,direct_impact,54,32,22,0.2844544000690803
A,MI-M,later_event_deletion,16,0,16,0.0
A,MI-MD,candidate_passive,50,50,0,0.4526961001683958
A,MI-MD,candidate_active,42,42,0,0.37711589981336147
A,MI-MD,singleton,109,19,90,0.1526567999389954
A,MI-MD,upstream_node_deletion,53,1,52,0.005257300043012947
A,MI-MD,direct_impact,53,32,21,0.40805290010757744
A,MI-MD,later_event_deletion,16,0,16,0.0
A,MI-MDA,candidate_passive,50,50,0,0.366241900192108
A,MI-MDA,candidate_active,42,42,0,0.3109735997277312
A,MI-MDA,singleton,115,22,93,0.14026320003904402
A,MI-MDA,upstream_node_deletion,45,1,44,0.004886600014287978
A,MI-MDA,direct_impact,45,28,17,0.2194241999532096
A,MI-MDA,later_event_deletion,16,0,16,0.0
B,FST-original,candidate_passive,50,50,0,0.32082500006072223
B,FST-original,candidate_active,31,31,0,0.19801980012562126
B,FST-original,singleton,45,4,41,0.032250599993858486
B,FST-original,upstream_node_deletion,11,1,10,0.008193899993784726
B,FST-original,direct_impact,11,7,4,0.04734279995318502
B,MI-FST,candidate_passive,50,50,0,0.3356287999195047
B,MI-FST,candidate_active,45,45,0,0.3133370997966267
B,MI-FST,singleton,123,20,103,0.11675119993742555
B,MI-FST,upstream_node_deletion,59,1,58,0.0037764000007882714
B,MI-FST,direct_impact,59,35,24,0.24080350017175078
B,MI-FST,later_event_deletion,15,0,15,0.0
B,RST,candidate_passive,50,50,0,0.32855230005225167
B,RST,candidate_active,44,44,0,0.2955687998328358
B,RST,singleton,100,28,72,0.1694065000046976
B,RST,upstream_node_deletion,53,1,52,0.005897500028368086
B,RST,direct_impact,53,35,18,0.24441299977479503
B,RST,later_event_deletion,11,0,11,0.0
B,MI-C,candidate_passive,50,50,0,0.38601360021857545
B,MI-C,candidate_active,45,45,0,0.36137360020074993
B,MI-C,singleton,119,22,97,0.17456319998018444
B,MI-C,upstream_node_deletion,57,1,56,0.004895599966403097
B,MI-C,direct_impact,57,35,22,0.284238499996718
B,MI-C,later_event_deletion,15,0,15,0.0
B,MI-M,candidate_passive,50,50,0,0.3859400000073947
B,MI-M,candidate_active,40,40,0,0.32385729998350143
B,MI-M,singleton,93,21,72,0.14100929989945143
B,MI-M,upstream_node_deletion,44,1,43,0.012558799993712455
B,MI-M,direct_impact,44,30,14,0.226046200201381
B,MI-M,later_event_deletion,15,0,15,0.0
B,MI-MD,candidate_passive,50,50,0,0.4159949002205394
B,MI-MD,candidate_active,39,39,0,0.31509659974835813
B,MI-MD,singleton,91,17,74,0.12290400004712865
B,MI-MD,upstream_node_deletion,43,1,42,0.0038861000211909413
B,MI-MD,direct_impact,43,29,14,0.2529908998403698
B,MI-MD,later_event_deletion,15,0,15,0.0
B,MI-MDA,candidate_passive,50,50,0,0.4803230998804793
B,MI-MDA,candidate_active,39,39,0,0.3944579001981765
B,MI-MDA,singleton,97,20,77,0.17124770011287183
B,MI-MDA,upstream_node_deletion,35,1,34,0.00537229998735711
B,MI-MDA,direct_impact,35,25,10,0.2944025999167934
B,MI-MDA,later_event_deletion,15,0,15,0.0
