variant_id,parent_variant_id,candidate_id,parent_candidate_id,generation_family,event_count,event_specification,canonical_event_key,changed_fields
FST-original,,FST-01,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-02,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-03,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-04,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-05,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-06,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-07,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-08,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-09,,Tier-1 supplier failure,1,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",
FST-original,,FST-10,,Tier-1 supplier failure,1,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",
FST-original,,FST-11,,Tier-1 supplier failure,1,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",
FST-original,,FST-12,,Tier-1 supplier failure,1,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",
FST-original,,FST-13,,Tier-1 supplier failure,1,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",
