method,topology,candidate_id,generation_family,threshold,passive_failure,active_failure,first_cross_week,severity,active_severity,C0,Cadm,gamma_raw,gamma_clipped,active_worsens_shortfall,plausibility,mechanism_signature,mechanism_label_count,passive_active_classification,causal_prefix_indices,single_event_crossings,hcd_removal_elements,direct_impact_crossing,rlto_support_pairs,rlto_pair_iterations,event_specification,canonical_event_key,variant_id,parent_variant_id,parent_candidate_id
FST-original,A,FST-01,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.8384135671890564,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-01,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.8384135671890564,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-02,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.6443726060652706,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-02,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.6443726060652706,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-03,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.507494756334278,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-03,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.507494756334278,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-04,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.0,0.0,False,0.5627543919032493,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-04,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.5627543919032493,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-05,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.0,0.0,False,0.43251150539123406,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-05,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.43251150539123406,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-06,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.03333333333333355,0.022222222222222365,0.03333333333333355,-0.5,0.0,True,0.3406372632452699,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-06,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.3406372632452699,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-07,Tier-1 supplier failure,moderate,True,False,14.0,0.19999999999999996,0.0,0.19999999999999996,0.0,1.0,1.0,False,0.15121287422922622,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-07,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.15121287422922622,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-08,Tier-1 supplier failure,moderate,True,False,14.0,0.21111111111111114,0.0,0.21111111111111114,0.0,1.0,1.0,False,0.11621643261855161,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-08,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.11621643261855161,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-09,Tier-1 supplier failure,moderate,True,False,14.0,0.21111111111111114,0.0,0.21111111111111114,0.0,1.0,1.0,False,0.09152969818803361,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-09,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.09152969818803361,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1A""}]",FST-original,,
FST-original,A,FST-10,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.8384135671890564,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-10,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.8384135671890564,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-11,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.6443726060652706,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-11,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.6443726060652706,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-12,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.507494756334278,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-12,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.507494756334278,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-13,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.0,0.0,False,0.5627543919032493,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-13,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.5627543919032493,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-14,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.0,0.0,False,0.43251150539123406,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-14,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.43251150539123406,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-15,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.03333333333333355,0.022222222222222365,0.03333333333333355,-0.5,0.0,True,0.3406372632452699,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-15,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.3406372632452699,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-16,Tier-1 supplier failure,moderate,True,False,14.0,0.19999999999999996,0.0,0.19999999999999996,0.0,1.0,1.0,False,0.15121287422922622,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-16,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.15121287422922622,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-17,Tier-1 supplier failure,moderate,True,False,14.0,0.21111111111111114,0.0,0.21111111111111114,0.0,1.0,1.0,False,0.11621643261855161,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-17,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.11621643261855161,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-18,Tier-1 supplier failure,moderate,True,False,14.0,0.21111111111111114,0.0,0.21111111111111114,0.0,1.0,1.0,False,0.09152969818803361,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-18,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.09152969818803361,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1B""}]",FST-original,,
FST-original,A,FST-19,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.8384135671890564,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-19,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.8384135671890564,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-20,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.6443726060652706,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-20,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.6443726060652706,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-21,Tier-1 supplier failure,moderate,False,,,0.0,0.0,,,,,,0.507494756334278,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-21,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.507494756334278,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.3,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-22,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.0,0.0,False,0.5627543919032493,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-22,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.5627543919032493,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-23,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.022222222222222365,0.0,0.0,False,0.43251150539123406,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-23,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.43251150539123406,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-24,Tier-1 supplier failure,moderate,True,True,14.0,0.022222222222222365,0.03333333333333355,0.022222222222222365,0.03333333333333355,-0.5,0.0,True,0.3406372632452699,Concentrated dependency,1,Structural,0,0,,,,0,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-24,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.3406372632452699,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.5,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-25,Tier-1 supplier failure,moderate,True,False,14.0,0.19999999999999996,0.0,0.19999999999999996,0.0,1.0,1.0,False,0.15121287422922622,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-25,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.15121287422922622,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-26,Tier-1 supplier failure,moderate,True,False,14.0,0.21111111111111114,0.0,0.21111111111111114,0.0,1.0,1.0,False,0.11621643261855161,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-26,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.11621643261855161,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-27,Tier-1 supplier failure,moderate,True,False,14.0,0.21111111111111114,0.0,0.21111111111111114,0.0,1.0,1.0,False,0.09152969818803361,Concentrated dependency,1,Adaptation-limited,0,0,,,,0,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-27,Tier-1 supplier failure,severe,False,,,0.0,0.0,,,,,,0.09152969818803361,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.7,""recovery_weeks"":3,""start_week"":12,""target"":""S1C""}]",FST-original,,
FST-original,A,FST-28,Shared-processor failure,moderate,False,,,0.0,0.0,,,,,,0.6463820628112398,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.2,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",FST-original,,
FST-original,A,FST-28,Shared-processor failure,severe,False,,,0.0,0.0,,,,,,0.6463820628112398,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.2,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",FST-original,,
FST-original,A,FST-29,Shared-processor failure,moderate,False,,,0.0,0.0,,,,,,0.4487104002552739,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.2,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",FST-original,,
FST-original,A,FST-29,Shared-processor failure,severe,False,,,0.0,0.0,,,,,,0.4487104002552739,Unclassified,0,Non-failure,,,,,,0,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]","[{""duration_weeks"":6,""magnitude"":0.2,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]",FST-original,,
