topology,reference_id,reference_family,threshold,passive_failure,first_cross_week,mechanism_signature,unclassified,event_specification,canonical_event_key
A,REF-A-S-0001,single event,moderate,False,,Unclassified,False,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0001,single event,severe,False,,Unclassified,False,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0002,single event,moderate,False,,Unclassified,False,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0002,single event,severe,False,,Unclassified,False,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0003,single event,moderate,False,,Unclassified,False,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0003,single event,severe,False,,Unclassified,False,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]","[{""duration_weeks"":4,""magnitude"":0.25,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0004,single event,moderate,True,19.0,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,False,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0004,single event,severe,False,,Unclassified,False,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]","[{""duration_weeks"":2,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0005,single event,moderate,True,19.0,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,False,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
A,REF-A-S-0005,single event,severe,False,,Unclassified,False,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]","[{""duration_weeks"":3,""magnitude"":0.35,""recovery_weeks"":3,""start_week"":12,""target"":""T2P""}]"
