architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,attribution_pair_iterations,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,baseline_memory_mb,peak_memory_mb,incremental_peak_memory_mb,memory_measurement,node_count,edge_count
shared,3,52,4,50,1,completed,50,50,200,600,0.5461485001142137,0.5531805996433832,1.4369585000677034,2.709635299979709,600,253,347,969.1875,969.265625,0.078125,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,3,52,4,50,2,completed,50,50,200,600,0.514712399977725,0.5144916999852285,1.377699800010305,2.557204900018405,600,253,347,969.265625,969.265625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,3,52,4,50,3,completed,50,50,200,600,0.5243925001705065,0.5264807000057772,1.42675740015693,2.6488578999997117,600,253,347,969.265625,969.265625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,3,52,4,50,4,completed,50,50,200,600,0.5530793000361882,0.532809600175824,1.4791854998329654,2.734603699995205,600,253,347,969.265625,969.265625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,3,52,4,50,5,completed,50,50,200,600,0.5151881999336183,0.5311060000094585,1.4230439002276398,2.632001699996181,600,253,347,969.265625,969.265625,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,6,7
shared,9,52,4,50,1,completed,50,50,200,600,0.7693817997933365,0.7372901999624446,2.161756399902515,3.8140478000277653,600,253,347,950.26953125,950.28125,0.01171875,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,9,52,4,50,2,completed,50,50,200,600,0.8099703001207672,0.758507700287737,2.2252261000103317,3.9526263000443578,600,253,347,950.28125,950.28125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,9,52,4,50,3,completed,50,50,200,600,0.7486091002356261,0.7279520001611672,2.1547128001693636,3.776951400039252,600,253,347,946.28125,946.28125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,9,52,4,50,4,completed,50,50,200,600,0.7458969000726938,0.7254079998820089,2.1324054002179764,3.745292600011453,600,253,347,946.28125,946.28125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,9,52,4,50,5,completed,50,50,200,600,0.700738399871625,0.7184126998763531,2.0409994996734895,3.592631799983792,600,253,347,946.28125,946.28125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,12,19
shared,30,52,1,50,1,completed,50,50,50,0,1.5342881999677047,1.572710799810011,1.6022857999196276,4.848966300021857,250,151,99,946.28125,946.28125,0.0,Windows GetProcessMemoryInfo working set; incremental over cell baseline,33,61
