architecture,n,horizon,K,B,total_repetitions,completed_repetitions,timeout_repetitions,partial_timeout_repetitions,partial_timeout_candidates,median_seconds,iqr_seconds,incremental_peak_memory_mb,peak_memory_mb,median_unique_simulations,median_cache_hits,median_attribution_pair_iterations
partitioned,3,52,4,50,5,5,0,0,0,4.517465400043875,1.8099714000127278,0.05078125,267.44921875,253.0,347.0,600.0
partitioned,9,52,4,50,5,5,0,0,0,6.562454900005832,0.5764733999385498,0.0078125,267.625,303.0,347.0,600.0
partitioned,30,52,1,50,5,5,0,0,0,2.285922800016124,0.3501186999492347,0.05859375,267.8125,50.0,0.0,0.0
partitioned,30,52,2,50,5,5,0,0,0,9.243336100014858,0.5208333000191487,0.0,268.62109375,201.0,149.0,100.0
partitioned,30,52,4,50,5,5,0,0,0,13.814843499974813,1.185108300007414,0.1640625,269.16796875,303.0,347.0,600.0
partitioned,30,52,4,100,5,5,0,0,0,27.839781899994705,1.0768100999994203,0.0078125,269.71484375,603.0,697.0,1200.0
partitioned,30,52,4,200,5,5,0,0,0,53.0440289999824,3.857785300060641,0.203125,271.15234375,1203.0,1397.0,2400.0
partitioned,30,52,4,500,5,0,5,5,2296,,,,,,,
partitioned,30,52,8,50,5,5,0,0,0,17.75791450001998,0.31710690003819764,0.046875,450.59765625,405.0,1145.0,2800.0
partitioned,30,52,16,50,5,5,0,0,0,31.85838629998034,1.487682599981781,0.00390625,456.34765625,609.0,3941.0,12000.0
partitioned,30,104,4,50,5,5,0,0,0,26.878779100021347,2.799216900020838,8.37890625,450.515625,303.0,347.0,600.0
partitioned,30,208,4,50,5,5,0,0,0,47.431822400016245,0.2826904999674298,20.5,462.5,303.0,347.0,600.0
partitioned,90,52,4,50,5,5,0,0,0,35.62041989999125,0.184286100033205,0.0,443.0234375,303.0,347.0,600.0
partitioned,300,52,4,50,5,0,5,5,183,,,,,,,
shared,3,52,4,50,5,5,0,0,0,2.6488578999997117,0.07763359998352826,0.0,969.265625,253.0,347.0,600.0
shared,9,52,4,50,5,5,0,0,0,3.776951400039252,0.0687552000163123,0.0,946.28125,253.0,347.0,600.0
shared,30,52,1,50,5,5,0,0,0,4.848966300021857,0.32227149995742366,0.0,946.28125,151.0,99.0,0.0
shared,30,52,2,50,5,5,0,0,0,7.1808834000257775,0.4236845000414178,0.0,946.27734375,201.0,149.0,100.0
shared,30,52,4,50,5,5,0,0,0,8.575555599993095,0.0466082000057213,0.0,946.27734375,253.0,347.0,600.0
shared,30,52,4,100,5,5,0,0,0,17.33601670002099,0.15403910004533827,0.0,946.27734375,503.0,697.0,1200.0
shared,30,52,4,200,5,5,0,0,0,34.42612499999814,0.3562249999959022,0.0,946.2734375,1003.0,1397.0,2400.0
shared,30,52,4,500,5,5,0,0,0,86.33647330000531,1.127749000035692,0.0,946.26953125,2503.0,3497.0,6000.0
shared,30,52,8,50,5,5,0,0,0,9.50425220001489,0.08791609993204474,0.0,946.28515625,253.0,1147.0,2800.0
shared,30,52,16,50,5,5,0,0,0,11.943932999973185,0.259091800020542,0.18359375,950.67578125,253.0,3947.0,12000.0
shared,30,104,4,50,5,5,0,0,0,17.026682500028983,0.7482092999853194,3.59375,954.6796875,253.0,347.0,600.0
shared,30,208,4,50,5,5,0,0,0,34.04689579998376,1.4351129999849945,17.12890625,963.1171875,253.0,347.0,600.0
shared,90,52,4,50,5,4,1,1,36,47.103865600016434,29.63242822495522,0.025390625,946.580078125,253.0,347.0,600.0
shared,300,52,4,50,5,5,0,0,0,102.67001310002524,6.254254200030118,0.1328125,330.65234375,253.0,347.0,600.0
