cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,support_method,monte_carlo_frequency,rst_numerator,comparator_numerator,paired_denominator,observed_delta_pp,per_seed_delta_mean_pp,per_seed_delta_sd_pp,delta_pp_lower_95,delta_pp_upper_95
archived,A,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,48.0,,,,,,,,
archived,A,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-41;RST-42;RST-43;RST-44;RST-45,RST,179.0,,,,,,,,
archived,A,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,40.0,,,,,,,,
archived,A,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,82.0,,,,,,,,
archived,A,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,40.0,,,,,,,,
archived,A,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,RST,82.0,,,,,,,,
archived,A,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,40.0,,,,,,,,
archived,A,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,RST,82.0,,,,,,,,
archived,A,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,82.0,,,,,,,,
archived,A,severe,FST-original,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
archived,A,severe,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,53.0,,,,,,,,
archived,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-42;RST-43;RST-44;RST-45,RST,116.0,,,,,,,,
archived,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,RST,25.0,,,,,,,,
archived,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,19.0,,,,,,,,
archived,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,61.0,,,,,,,,
archived,A,severe,FST-original,lost,Concentrated dependency; Hidden convergent dependency,FST-48,FST-original,36.0,,,,,,,,
archived,A,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
archived,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,19.0,,,,,,,,
archived,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,61.0,,,,,,,,
archived,A,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-37;FST-MI-38;FST-MI-39;FST-MI-40,MI-FST,36.0,,,,,,,,
archived,A,severe,MI-C,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
archived,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,RST,19.0,,,,,,,,
archived,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,RST,61.0,,,,,,,,
archived,A,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-37;FST-MI-38;FST-MI-39;FST-MI-40,MI-C,36.0,,,,,,,,
archived,A,severe,MI-M,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
archived,A,severe,MI-M,lost,Concentrated dependency; Hidden convergent dependency,FST-MI-40,MI-M,36.0,,,,,,,,
archived,A,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,52.0,,,,,,,,
validation,A,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,53.0,,,,,,,,
validation,A,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-41;RST-42;RST-43;RST-44;RST-45,RST,142.0,,,,,,,,
validation,A,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,42.0,,,,,,,,
validation,A,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,RST,81.0,,,,,,,,
validation,A,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,42.0,,,,,,,,
validation,A,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,RST,81.0,,,,,,,,
validation,A,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,RST,42.0,,,,,,,,
validation,A,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,RST,81.0,,,,,,,,
validation,A,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,RST,81.0,,,,,,,,
validation,A,severe,FST-original,gained,Compounding moderate disturbance,RST-30,RST,51.0,,,,,,,,
validation,A,severe,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,RST,54.0,,,,,,,,
