topology,method,purpose,requested_calls,unique_simulations,cache_hits,elapsed_seconds
A,FST-original,candidate_passive,50,50,0,0.4626248999265954
A,FST-original,candidate_active,33,33,0,0.31714960013050586
A,FST-original,singleton,51,6,45,0.07137239997973666
A,FST-original,upstream_node_deletion,15,1,14,0.006521800009068102
A,FST-original,direct_impact,15,9,6,0.08529529999941587
A,MI-FST,candidate_passive,50,50,0,0.4111104995245114
A,MI-FST,candidate_active,46,46,0,0.359962800052017
A,MI-FST,singleton,129,20,109,0.14335689990548417
A,MI-FST,upstream_node_deletion,63,1,62,0.005439399974420667
A,MI-FST,direct_impact,63,36,27,0.2893740001018159
A,MI-FST,later_event_deletion,16,0,16,0.0
A,RST,candidate_passive,50,50,0,0.7330700000165962
A,RST,candidate_active,48,48,0,0.4852204999187961
A,RST,singleton,125,30,95,0.20894269994460046
A,RST,upstream_node_deletion,69,1,68,0.00612779997754842
A,RST,direct_impact,69,39,30,0.33052630006568506
A,RST,later_event_deletion,12,0,12,0.0
A,MI-C,candidate_passive,50,50,0,0.37084190017776564
A,MI-C,candidate_active,45,45,0,0.33069360023364425
A,MI-C,singleton,123,22,101,0.1416374998516403
A,MI-C,upstream_node_deletion,60,1,59,0.005348200036678463
A,MI-C,direct_impact,60,35,25,0.2829762998735532
A,MI-C,later_event_deletion,16,0,16,0.0
A,MI-M,candidate_passive,50,50,0,0.3933221999905072
A,MI-M,candidate_active,42,42,0,0.3329301999765448
A,MI-M,singleton,111,23,88,0.16878250008448958
A,MI-M,upstream_node_deletion,54,1,53,0.005629200022667646
A,MI-M,direct_impact,54,32,22,0.24217330000828952
A,MI-M,later_event_deletion,16,0,16,0.0
A,MI-MD,candidate_passive,50,50,0,0.32741819974035025
A,MI-MD,candidate_active,42,42,0,0.27034909988287836
A,MI-MD,singleton,109,19,90,0.10753929993370548
A,MI-MD,upstream_node_deletion,53,1,52,0.005303499987348914
A,MI-MD,direct_impact,53,32,21,0.20712879998609424
A,MI-MD,later_event_deletion,16,0,16,0.0
A,MI-MDA,candidate_passive,50,50,0,0.35899899987271056
A,MI-MDA,candidate_active,42,42,0,0.31352739996509627
A,MI-MDA,singleton,115,22,93,0.14653390017338097
A,MI-MDA,upstream_node_deletion,45,1,44,0.0054916999652050436
A,MI-MDA,direct_impact,45,28,17,0.2085870000300929
A,MI-MDA,later_event_deletion,16,0,16,0.0
B,FST-original,candidate_passive,50,50,0,0.42385879991343245
B,FST-original,candidate_active,31,31,0,0.3321752000483684
B,FST-original,singleton,45,4,41,0.028277600009460002
B,FST-original,upstream_node_deletion,11,1,10,0.006357799982652068
B,FST-original,direct_impact,11,7,4,0.060219300095923245
B,MI-FST,candidate_passive,50,50,0,0.3932402997161262
B,MI-FST,candidate_active,45,45,0,0.3578374003409408
B,MI-FST,singleton,123,20,103,0.145467099850066
B,MI-FST,upstream_node_deletion,59,1,58,0.005599499971140176
B,MI-FST,direct_impact,59,35,24,0.2847742998274043
B,MI-FST,later_event_deletion,15,0,15,0.0
B,RST,candidate_passive,50,50,0,0.42143779987236485
B,RST,candidate_active,44,44,0,0.3794417998287827
B,RST,singleton,100,28,72,0.22302510007284582
B,RST,upstream_node_deletion,53,1,52,0.006200899952091277
B,RST,direct_impact,53,35,18,0.2994722999865189
B,RST,later_event_deletion,11,0,11,0.0
B,MI-C,candidate_passive,50,50,0,0.4224965000175871
B,MI-C,candidate_active,45,45,0,0.37941179994959384
B,MI-C,singleton,119,22,97,0.2595769999898039
B,MI-C,upstream_node_deletion,57,1,56,0.006963099993299693
B,MI-C,direct_impact,57,35,22,0.32631880015833303
B,MI-C,later_event_deletion,15,0,15,0.0
B,MI-M,candidate_passive,50,50,0,0.41747320001013577
B,MI-M,candidate_active,40,40,0,0.33513220015447587
B,MI-M,singleton,93,21,72,0.16335290001006797
B,MI-M,upstream_node_deletion,44,1,43,0.009777900006156415
B,MI-M,direct_impact,44,30,14,0.2559514000895433
B,MI-M,later_event_deletion,15,0,15,0.0
B,MI-MD,candidate_passive,50,50,0,0.503736799932085
B,MI-MD,candidate_active,39,39,0,0.4931909001315944
B,MI-MD,singleton,91,17,74,0.11359530000481755
B,MI-MD,upstream_node_deletion,43,1,42,0.006166800041683018
B,MI-MD,direct_impact,43,29,14,0.2361987999174744
B,MI-MD,later_event_deletion,15,0,15,0.0
B,MI-MDA,candidate_passive,50,50,0,0.4039138998487033
B,MI-MDA,candidate_active,39,39,0,0.3118067999603227
B,MI-MDA,singleton,97,20,77,0.13060959987342358
B,MI-MDA,upstream_node_deletion,35,1,34,0.0064836000092327595
B,MI-MDA,direct_impact,35,25,10,0.20233070012181997
B,MI-MDA,later_event_deletion,15,0,15,0.0
