topology,method,threshold,signature_numerator,signature_denominator,signature_coverage,reference_signature_count,event_specification_numerator,event_specification_denominator,event_specification_recall,candidate_specs_outside_grid
A,FST-original,moderate,1715,2531,0.6775977874357961,13,10,2531,0.0039510075069142635,39
A,FST-original,severe,552,1138,0.4850615114235501,14,3,1138,0.0026362038664323375,39
A,MI-FST,moderate,1991,2531,0.7866455946266298,13,7,2531,0.002765705254839984,43
A,MI-FST,severe,759,1138,0.6669595782073814,14,3,1138,0.0026362038664323375,43
A,RST,moderate,2087,2531,0.8245752666930067,13,8,2531,0.0031608060055314103,41
A,RST,severe,853,1138,0.7495606326889279,14,5,1138,0.004393673110720563,41
A,MI-C,moderate,1991,2531,0.7866455946266298,13,10,2531,0.0039510075069142635,39
A,MI-C,severe,759,1138,0.6669595782073814,14,4,1138,0.0035149384885764497,39
A,MI-M,moderate,2012,2531,0.7949427103911497,13,14,2531,0.005531410509679968,35
A,MI-M,severe,802,1138,0.7047451669595782,14,8,1138,0.007029876977152899,35
A,MI-MD,moderate,2012,2531,0.7949427103911497,13,14,2531,0.005531410509679968,35
A,MI-MD,severe,754,1138,0.6625659050966608,14,7,1138,0.006151142355008787,35
A,MI-MDA,moderate,2087,2531,0.8245752666930067,13,18,2531,0.007111813512445673,31
A,MI-MDA,severe,853,1138,0.7495606326889279,14,10,1138,0.008787346221441126,31
B,FST-original,moderate,1943,3175,0.6119685039370079,16,8,3175,0.0025196850393700786,41
B,FST-original,severe,354,964,0.36721991701244816,15,2,964,0.002074688796680498,41
B,MI-FST,moderate,2534,3175,0.7981102362204724,16,5,3175,0.0015748031496062992,45
B,MI-FST,severe,525,964,0.5446058091286307,15,2,964,0.002074688796680498,45
B,RST,moderate,2657,3175,0.8368503937007874,16,0,3175,0.0,50
B,RST,severe,603,964,0.6255186721991701,15,0,964,0.0,50
B,MI-C,moderate,2534,3175,0.7981102362204724,16,5,3175,0.0015748031496062992,45
B,MI-C,severe,525,964,0.5446058091286307,15,2,964,0.002074688796680498,45
B,MI-M,moderate,2550,3175,0.8031496062992126,16,5,3175,0.0015748031496062992,45
B,MI-M,severe,462,964,0.47925311203319504,15,2,964,0.002074688796680498,45
B,MI-MD,moderate,2550,3175,0.8031496062992126,16,5,3175,0.0015748031496062992,45
B,MI-MD,severe,462,964,0.47925311203319504,15,2,964,0.002074688796680498,45
B,MI-MDA,moderate,2646,3175,0.8333858267716535,16,9,3175,0.0028346456692913387,41
B,MI-MDA,severe,570,964,0.5912863070539419,15,5,964,0.005186721991701245,41
