cohort,topology,threshold,method,seed,numerator,denominator,coverage
archived,A,moderate,FST-original,42,393,496,0.7923387096774194
archived,A,moderate,FST-original,314,407,484,0.8409090909090909
archived,A,moderate,FST-original,1618,392,494,0.7935222672064778
archived,A,moderate,FST-original,2026,373,484,0.7706611570247934
archived,A,moderate,FST-original,2718,383,497,0.7706237424547284
archived,A,moderate,MI-FST,42,423,496,0.8528225806451613
archived,A,moderate,MI-FST,314,426,484,0.8801652892561983
archived,A,moderate,MI-FST,1618,420,494,0.8502024291497976
archived,A,moderate,MI-FST,2026,404,484,0.8347107438016529
archived,A,moderate,MI-FST,2718,420,497,0.8450704225352113
archived,A,moderate,RST,42,443,496,0.8931451612903226
archived,A,moderate,RST,314,448,484,0.9256198347107438
archived,A,moderate,RST,1618,448,494,0.9068825910931174
archived,A,moderate,RST,2026,431,484,0.890495867768595
archived,A,moderate,RST,2718,445,497,0.8953722334004024
archived,A,moderate,MI-C,42,423,496,0.8528225806451613
archived,A,moderate,MI-C,314,426,484,0.8801652892561983
archived,A,moderate,MI-C,1618,420,494,0.8502024291497976
archived,A,moderate,MI-C,2026,404,484,0.8347107438016529
archived,A,moderate,MI-C,2718,420,497,0.8450704225352113
archived,A,moderate,MI-M,42,425,496,0.8568548387096774
archived,A,moderate,MI-M,314,430,484,0.8884297520661157
archived,A,moderate,MI-M,1618,426,494,0.8623481781376519
archived,A,moderate,MI-M,2026,419,484,0.8657024793388429
archived,A,moderate,MI-M,2718,433,497,0.8712273641851107
archived,A,moderate,MI-MD,42,425,496,0.8568548387096774
archived,A,moderate,MI-MD,314,430,484,0.8884297520661157
archived,A,moderate,MI-MD,1618,426,494,0.8623481781376519
archived,A,moderate,MI-MD,2026,419,484,0.8657024793388429
archived,A,moderate,MI-MD,2718,433,497,0.8712273641851107
archived,A,moderate,MI-MDA,42,443,496,0.8931451612903226
archived,A,moderate,MI-MDA,314,448,484,0.9256198347107438
archived,A,moderate,MI-MDA,1618,448,494,0.9068825910931174
archived,A,moderate,MI-MDA,2026,431,484,0.890495867768595
archived,A,moderate,MI-MDA,2718,445,497,0.8953722334004024
archived,A,severe,FST-original,42,205,295,0.6949152542372882
