method,alpha,duration,candidate_count,threshold_crossings,full_signatures,full_signature_count
FST-original,0.9,1,50,37,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,3
FST-original,0.9,2,50,33,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,4
FST-original,0.9,3,50,13,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,3
FST-original,0.9,4,50,11,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance,3
FST-original,0.85,1,50,26,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,2
FST-original,0.85,2,50,22,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,3
FST-original,0.85,3,50,11,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,3
FST-original,0.85,4,50,10,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance,3
FST-original,0.8,1,50,16,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,3
FST-original,0.8,2,50,11,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,3
FST-original,0.8,3,50,11,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,4
FST-original,0.8,4,50,10,Compounding moderate disturbance | Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,4
MI-FST,0.9,1,50,47,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-FST,0.9,2,50,46,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,5
MI-FST,0.9,3,50,39,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,6
MI-FST,0.9,4,50,37,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,5
MI-FST,0.85,1,50,43,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-FST,0.85,2,50,42,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,6
MI-FST,0.85,3,50,35,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,6
MI-FST,0.85,4,50,30,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade,4
MI-FST,0.8,1,50,40,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
MI-FST,0.8,2,50,35,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,5
MI-FST,0.8,3,50,35,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,6
MI-FST,0.8,4,50,29,Concentrated dependency | Concentrated dependency; Hidden convergent dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Propagation-amplified cascade | Hidden convergent dependency; Compounding moderate disturbance | Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,6
RST,0.9,1,50,48,Concentrated dependency | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade | Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap | Concentrated dependency; Propagation-amplified cascade,4
