cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,monte_carlo_frequency,delta_pp_lower_95,delta_pp_upper_95
archived,A,moderate,FST-original,paired_delta_summary,,,,9.670834396111982,12.118780096308186
archived,A,moderate,MI-FST,paired_delta_summary,,,,4.139322653350121,5.839170497314276
archived,A,moderate,MI-C,paired_delta_summary,,,,4.149857807714272,5.827220863895681
archived,A,moderate,MI-M,paired_delta_summary,,,,2.6552197206316155,4.068383730391507
archived,A,moderate,MI-MD,paired_delta_summary,,,,2.638080083868329,4.060104726323668
archived,A,moderate,MI-MDA,paired_delta_summary,,,,0.0,0.0
archived,A,severe,FST-original,paired_delta_summary,,,,17.706881507989284,22.47608344371744
archived,A,severe,MI-FST,paired_delta_summary,,,,4.981624184943687,8.411843876177658
archived,A,severe,MI-C,paired_delta_summary,,,,4.912256767430172,8.345458914705395
archived,A,severe,MI-M,paired_delta_summary,,,,-0.14984207368930696,2.3726448011165386
archived,A,severe,MI-MD,paired_delta_summary,,,,2.683568472423238,4.599324096061707
archived,A,severe,MI-MDA,paired_delta_summary,,,,0.0,0.0
validation,A,moderate,FST-original,paired_delta_summary,,,,8.39723940863703,10.696121502668342
validation,A,moderate,MI-FST,paired_delta_summary,,,,4.127873938421281,5.816733067729084
validation,A,moderate,MI-C,paired_delta_summary,,,,4.106856007388267,5.818641028964897
validation,A,moderate,MI-M,paired_delta_summary,,,,2.5806451612903225,3.978892839099052
validation,A,moderate,MI-MD,paired_delta_summary,,,,2.572347266881029,3.98600167395163
validation,A,moderate,MI-MDA,paired_delta_summary,,,,0.0,0.0
validation,A,severe,FST-original,paired_delta_summary,,,,18.266426769676833,22.87769784172662
validation,A,severe,MI-FST,paired_delta_summary,,,,6.364284764248188,9.781881884540123
validation,A,severe,MI-C,paired_delta_summary,,,,6.361144051675989,9.733253611466216
validation,A,severe,MI-M,paired_delta_summary,,,,0.7071388728410065,3.1204670145858424
validation,A,severe,MI-MD,paired_delta_summary,,,,2.6988610461839397,4.661062544075091
validation,A,severe,MI-MDA,paired_delta_summary,,,,0.0,0.0
archived,B,moderate,FST-original,paired_delta_summary,,,,14.865486652296468,18.049044436746524
archived,B,moderate,MI-FST,paired_delta_summary,,,,4.83202454742029,6.8404024851640655
archived,B,moderate,MI-C,paired_delta_summary,,,,4.861102918043102,6.815020862308762
archived,B,moderate,MI-M,paired_delta_summary,,,,3.842546952636379,5.681831413812084
archived,B,moderate,MI-MD,paired_delta_summary,,,,3.853427073733188,5.663095052263576
archived,B,moderate,MI-MDA,paired_delta_summary,,,,0.28942862622705,0.9726838017978493
archived,B,severe,FST-original,paired_delta_summary,,,,23.643576337185248,29.657435856724156
archived,B,severe,MI-FST,paired_delta_summary,,,,2.1118979268040308,5.773461867016309
archived,B,severe,MI-C,paired_delta_summary,,,,2.118632258186422,5.806485676329324
archived,B,severe,MI-M,paired_delta_summary,,,,8.805635011441648,12.68988857125071
archived,B,severe,MI-MD,paired_delta_summary,,,,8.832419807754617,12.725392846813842
archived,B,severe,MI-MDA,paired_delta_summary,,,,3.2257252379560146,5.843475061717402
validation,B,moderate,FST-original,paired_delta_summary,,,,13.534129124605121,16.48964388900585
validation,B,moderate,MI-FST,paired_delta_summary,,,,4.979190388883528,6.951632913713715
validation,B,moderate,MI-C,paired_delta_summary,,,,4.942249821002708,6.92521747809664
validation,B,moderate,MI-M,paired_delta_summary,,,,4.3357933579335795,6.229876212541448
validation,B,moderate,MI-MD,paired_delta_summary,,,,4.3478260869565215,6.215226077135191
validation,B,moderate,MI-MDA,paired_delta_summary,,,,0.4655493482309125,1.2351271198844427
validation,B,severe,FST-original,paired_delta_summary,,,,21.630359137882877,27.65737874097007
validation,B,severe,MI-FST,paired_delta_summary,,,,1.649442067376602,5.291049978549978
validation,B,severe,MI-C,paired_delta_summary,,,,1.6573216589188795,5.229455709711846
validation,B,severe,MI-M,paired_delta_summary,,,,7.668067226890757,11.471861471861471
validation,B,severe,MI-MD,paired_delta_summary,,,,7.773055541234899,11.503419729731593
validation,B,severe,MI-MDA,paired_delta_summary,,,,2.6665983606557377,5.139664804469274
