cohort,topology,threshold,method,signature,failure_frequency,total_failures,covered,uncovered_fraction
archived,A,moderate,FST-original,Compounding moderate disturbance,82,2455,True,0.0
archived,A,moderate,FST-original,Concentrated dependency; Hidden convergent dependency,121,2455,True,0.0
archived,A,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,48,2455,False,0.019551934826883912
archived,A,moderate,FST-original,Concentrated dependency,1075,2455,True,0.0
archived,A,moderate,FST-original,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,27,2455,False,0.010997963340122199
archived,A,moderate,FST-original,Concentrated dependency; Recovery lag and temporal overlap,86,2455,False,0.03503054989816701
archived,A,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,670,2455,True,0.0
archived,A,moderate,FST-original,Concentrated dependency; Propagation-amplified cascade,179,2455,False,0.07291242362525459
archived,A,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,19,2455,False,0.007739307535641548
archived,A,moderate,FST-original,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,25,2455,False,0.010183299389002037
archived,A,moderate,FST-original,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2455,False,0.000814663951120163
archived,A,moderate,FST-original,Compounding moderate disturbance; Recovery lag and temporal overlap,36,2455,False,0.014663951120162933
archived,A,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,19,2455,False,0.007739307535641548
archived,A,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance,40,2455,False,0.016293279022403257
archived,A,moderate,FST-original,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,26,2455,False,0.010590631364562118
archived,A,moderate,MI-FST,Compounding moderate disturbance,82,2455,False,0.03340122199592668
archived,A,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency,121,2455,True,0.0
archived,A,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,48,2455,True,0.0
archived,A,moderate,MI-FST,Concentrated dependency,1075,2455,True,0.0
archived,A,moderate,MI-FST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,27,2455,False,0.010997963340122199
archived,A,moderate,MI-FST,Concentrated dependency; Recovery lag and temporal overlap,86,2455,False,0.03503054989816701
archived,A,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,670,2455,True,0.0
archived,A,moderate,MI-FST,Concentrated dependency; Propagation-amplified cascade,179,2455,True,0.0
archived,A,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,19,2455,False,0.007739307535641548
archived,A,moderate,MI-FST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,25,2455,False,0.010183299389002037
archived,A,moderate,MI-FST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2455,False,0.000814663951120163
archived,A,moderate,MI-FST,Compounding moderate disturbance; Recovery lag and temporal overlap,36,2455,False,0.014663951120162933
archived,A,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,19,2455,False,0.007739307535641548
archived,A,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance,40,2455,False,0.016293279022403257
archived,A,moderate,MI-FST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,26,2455,False,0.010590631364562118
archived,A,moderate,RST,Compounding moderate disturbance,82,2455,True,0.0
archived,A,moderate,RST,Concentrated dependency; Hidden convergent dependency,121,2455,True,0.0
archived,A,moderate,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,48,2455,True,0.0
archived,A,moderate,RST,Concentrated dependency,1075,2455,True,0.0
archived,A,moderate,RST,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,27,2455,False,0.010997963340122199
archived,A,moderate,RST,Concentrated dependency; Recovery lag and temporal overlap,86,2455,False,0.03503054989816701
archived,A,moderate,RST,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,670,2455,True,0.0
archived,A,moderate,RST,Concentrated dependency; Propagation-amplified cascade,179,2455,True,0.0
archived,A,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,19,2455,False,0.007739307535641548
archived,A,moderate,RST,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,25,2455,False,0.010183299389002037
archived,A,moderate,RST,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2455,False,0.000814663951120163
archived,A,moderate,RST,Compounding moderate disturbance; Recovery lag and temporal overlap,36,2455,False,0.014663951120162933
archived,A,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,19,2455,False,0.007739307535641548
archived,A,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance,40,2455,True,0.0
archived,A,moderate,RST,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,26,2455,False,0.010590631364562118
archived,A,moderate,MI-C,Compounding moderate disturbance,82,2455,False,0.03340122199592668
archived,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency,121,2455,True,0.0
archived,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,48,2455,True,0.0
archived,A,moderate,MI-C,Concentrated dependency,1075,2455,True,0.0
archived,A,moderate,MI-C,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,27,2455,False,0.010997963340122199
archived,A,moderate,MI-C,Concentrated dependency; Recovery lag and temporal overlap,86,2455,False,0.03503054989816701
archived,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,670,2455,True,0.0
archived,A,moderate,MI-C,Concentrated dependency; Propagation-amplified cascade,179,2455,True,0.0
archived,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,19,2455,False,0.007739307535641548
archived,A,moderate,MI-C,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,25,2455,False,0.010183299389002037
archived,A,moderate,MI-C,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,2,2455,False,0.000814663951120163
archived,A,moderate,MI-C,Compounding moderate disturbance; Recovery lag and temporal overlap,36,2455,False,0.014663951120162933
archived,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,19,2455,False,0.007739307535641548
archived,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance,40,2455,False,0.016293279022403257
archived,A,moderate,MI-C,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,26,2455,False,0.010590631364562118
