cohort,topology,threshold,comparator,direction,signature,candidate_support_ids,monte_carlo_frequency,delta_pp_lower_95,delta_pp_upper_95
archived,A,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,48.0,,
archived,A,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-41;RST-42;RST-43;RST-44;RST-45,179.0,,
archived,A,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,40.0,,
archived,A,moderate,FST-original,paired_delta_summary,,,,9.670834396111982,12.118780096308186
archived,A,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,82.0,,
archived,A,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,40.0,,
archived,A,moderate,MI-FST,paired_delta_summary,,,,4.139322653350121,5.839170497314276
archived,A,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,82.0,,
archived,A,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,40.0,,
archived,A,moderate,MI-C,paired_delta_summary,,,,4.149857807714272,5.827220863895681
archived,A,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,82.0,,
archived,A,moderate,MI-M,paired_delta_summary,,,,2.6552197206316155,4.068383730391507
archived,A,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,82.0,,
archived,A,moderate,MI-MD,paired_delta_summary,,,,2.638080083868329,4.060104726323668
archived,A,moderate,MI-MDA,paired_delta_summary,,,,0.0,0.0
archived,A,severe,FST-original,gained,Compounding moderate disturbance,RST-30,52.0,,
archived,A,severe,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,53.0,,
archived,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-42;RST-43;RST-44;RST-45,116.0,,
archived,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,25.0,,
archived,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,19.0,,
archived,A,severe,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,61.0,,
archived,A,severe,FST-original,lost,Concentrated dependency; Hidden convergent dependency,,36.0,,
archived,A,severe,FST-original,paired_delta_summary,,,,17.706881507989284,22.47608344371744
archived,A,severe,MI-FST,gained,Compounding moderate disturbance,RST-30,52.0,,
archived,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,19.0,,
archived,A,severe,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,61.0,,
archived,A,severe,MI-FST,lost,Concentrated dependency; Hidden convergent dependency,,36.0,,
archived,A,severe,MI-FST,paired_delta_summary,,,,4.981624184943687,8.411843876177658
archived,A,severe,MI-C,gained,Compounding moderate disturbance,RST-30,52.0,,
archived,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-24;RST-26,19.0,,
archived,A,severe,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,RST-23;RST-25;RST-36,61.0,,
archived,A,severe,MI-C,lost,Concentrated dependency; Hidden convergent dependency,,36.0,,
archived,A,severe,MI-C,paired_delta_summary,,,,4.912256767430172,8.345458914705395
archived,A,severe,MI-M,gained,Compounding moderate disturbance,RST-30,52.0,,
archived,A,severe,MI-M,lost,Concentrated dependency; Hidden convergent dependency,,36.0,,
archived,A,severe,MI-M,paired_delta_summary,,,,-0.14984207368930696,2.3726448011165386
archived,A,severe,MI-MD,gained,Compounding moderate disturbance,RST-30,52.0,,
archived,A,severe,MI-MD,paired_delta_summary,,,,2.683568472423238,4.599324096061707
archived,A,severe,MI-MDA,paired_delta_summary,,,,0.0,0.0
validation,A,moderate,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,53.0,,
validation,A,moderate,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-20;RST-22;RST-41;RST-42;RST-43;RST-44;RST-45,142.0,,
validation,A,moderate,FST-original,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,42.0,,
validation,A,moderate,FST-original,paired_delta_summary,,,,8.39723940863703,10.696121502668342
validation,A,moderate,MI-FST,gained,Compounding moderate disturbance,RST-30,81.0,,
validation,A,moderate,MI-FST,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,42.0,,
validation,A,moderate,MI-FST,paired_delta_summary,,,,4.127873938421281,5.816733067729084
validation,A,moderate,MI-C,gained,Compounding moderate disturbance,RST-30,81.0,,
validation,A,moderate,MI-C,gained,Hidden convergent dependency; Compounding moderate disturbance,RST-23;RST-24,42.0,,
validation,A,moderate,MI-C,paired_delta_summary,,,,4.106856007388267,5.818641028964897
validation,A,moderate,MI-M,gained,Compounding moderate disturbance,RST-30,81.0,,
validation,A,moderate,MI-M,paired_delta_summary,,,,2.5806451612903225,3.978892839099052
validation,A,moderate,MI-MD,gained,Compounding moderate disturbance,RST-30,81.0,,
validation,A,moderate,MI-MD,paired_delta_summary,,,,2.572347266881029,3.98600167395163
validation,A,moderate,MI-MDA,paired_delta_summary,,,,0.0,0.0
validation,A,severe,FST-original,gained,Compounding moderate disturbance,RST-30,51.0,,
validation,A,severe,FST-original,gained,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-46,54.0,,
validation,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade,RST-42;RST-43;RST-44;RST-45,100.0,,
validation,A,severe,FST-original,gained,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,RST-41,22.0,,
