architecture,n,horizon,K,B,repetition,status,completed_candidates,failures,prefix_event_count,passive_seconds,active_seconds,attribution_seconds,end_to_end_seconds,requested_simulations,unique_simulations,cache_hits,max_memory_mb,memory_measurement,node_count,edge_count
shared,3,52,4,50,1,completed,50,50,200,0.5082398002268746,0.4944096999242902,1.343860000022687,2.490765900001861,600,253,347,897.59765625,Windows GetProcessMemoryInfo working set,6,5
shared,3,52,4,50,2,completed,50,50,200,0.470905700000003,0.488435999781359,1.324555299943313,2.4264456999953836,600,253,347,897.59765625,Windows GetProcessMemoryInfo working set,6,5
shared,3,52,4,50,3,completed,50,50,200,0.46083429973805323,0.461964399961289,1.2382293998962268,2.296482600038871,600,253,347,897.609375,Windows GetProcessMemoryInfo working set,6,5
shared,3,52,4,50,4,completed,50,50,200,0.45310619997326285,0.44144000008236617,1.2369354999391362,2.2641710999887437,600,253,347,897.609375,Windows GetProcessMemoryInfo working set,6,5
shared,3,52,4,50,5,completed,50,50,200,0.4539483999251388,0.45732430007774383,1.270601800235454,2.3146162999910302,600,253,347,897.609375,Windows GetProcessMemoryInfo working set,6,5
shared,9,52,4,50,1,completed,50,50,200,0.7681285999133252,0.7428350001573563,2.1754660000442527,3.826684599975124,600,253,347,879.62109375,Windows GetProcessMemoryInfo working set,12,11
shared,9,52,4,50,2,completed,50,50,200,0.7484414000064135,0.760708500049077,2.1812870998401195,3.8252301999600604,600,253,347,879.62109375,Windows GetProcessMemoryInfo working set,12,11
shared,9,52,4,50,3,completed,50,50,200,0.6943892001290806,0.6727732997387648,1.983585100097116,3.4752676999778487,600,253,347,879.62109375,Windows GetProcessMemoryInfo working set,12,11
shared,9,52,4,50,4,completed,50,50,200,0.675004499964416,0.6628651000792161,1.932530100340955,3.3975310000241734,600,253,347,879.6171875,Windows GetProcessMemoryInfo working set,12,11
shared,9,52,4,50,5,completed,50,50,200,0.6457720000180416,0.6700271998415701,1.9426314000738785,3.377809699974023,600,253,347,879.6171875,Windows GetProcessMemoryInfo working set,12,11
shared,30,52,1,50,1,completed,50,50,50,1.3799785999581218,1.4317675999482162,1.546116599929519,4.55703630001517,250,151,99,879.61328125,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,1,50,2,completed,50,50,50,1.4858480002149008,1.4894112001056783,1.5280993999913335,4.629074900003616,250,151,99,879.61328125,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,1,50,3,completed,50,50,50,1.4721282001701184,1.3999913995503448,1.5926355000701733,4.589585800014902,250,151,99,879.58984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,1,50,4,completed,50,50,50,1.5071507996763103,1.4345028000534512,1.5377133000292815,4.604453599953558,250,151,99,879.58984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,1,50,5,completed,50,50,50,1.468345700064674,1.4158004998462275,1.5869203999754973,4.602336100011598,250,151,99,879.5859375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,2,50,1,completed,50,50,100,1.463962800160516,1.489957900135778,3.143119200016372,6.223150200035889,350,201,149,879.5859375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,2,50,2,completed,50,50,100,1.5471582001191564,1.495697699894663,3.124993200355675,6.296929700009059,350,201,149,879.5859375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,2,50,3,completed,50,50,100,1.6342973001301289,1.610349899623543,3.4486745999893174,6.829501700005494,350,201,149,879.58203125,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,2,50,4,completed,50,50,100,1.581754899933003,1.5421388001414016,3.2035727001493797,6.458453800005373,350,201,149,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,2,50,5,completed,50,50,100,1.5057337999460287,1.5043929997482337,3.086757200071588,6.2255013000103645,350,201,149,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,50,1,completed,50,50,200,1.6164756998769008,1.5926837999140844,4.8378627999918535,8.171921899949666,600,253,347,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,50,2,completed,50,50,200,1.5721260998398066,1.5887101998669095,4.711038799898233,7.995043499977328,600,253,347,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,50,3,completed,50,50,200,1.5182529999874532,1.4543865000014193,4.567412400036119,7.660938699962571,600,253,347,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,50,4,completed,50,50,200,1.5918076998787,1.5575830999878235,4.70974990009563,7.984095699968748,600,253,347,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,50,5,completed,50,50,200,1.5685677000437863,1.5218288998003118,4.675613899948075,7.887095500016585,600,253,347,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,100,1,completed,100,100,400,3.1481557995430194,3.1148542998125777,9.293214600067586,15.815065999981016,1200,503,697,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,100,2,completed,100,100,400,3.52114949998213,3.6448278999887407,10.545035100076348,17.9886594999698,1200,503,697,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,100,3,completed,100,100,400,2.925625800038688,3.027979899488855,8.910044499963988,15.103249600040726,1200,503,697,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,100,4,completed,100,100,400,2.9744974998175167,3.0342246002401225,9.208042400015984,15.464340500009712,1200,503,697,879.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,100,5,completed,100,100,400,3.263249499956146,3.225745800533332,9.774594100075774,16.51636419998249,1200,503,697,879.921875,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,200,1,completed,200,200,800,6.379907000227831,6.16082320001442,18.873008399328683,31.91974390001269,2400,1003,1397,879.95703125,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,200,2,completed,200,200,800,6.1813263995572925,5.997582699928898,18.64329009957146,31.330723899998702,2400,1003,1397,879.95703125,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,200,3,completed,200,200,800,6.10418580006808,6.347699200094212,18.63813490018947,31.58378939999966,2400,1003,1397,879.95703125,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,200,4,completed,200,200,800,6.2632087003439665,6.2710486994474195,18.36801610008115,31.39074550004443,2400,1003,1397,879.95703125,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,200,5,completed,200,200,800,5.819182600593194,6.042246700206306,18.317584300471935,30.66614839999238,2400,1003,1397,879.95703125,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,500,1,completed,500,500,2000,15.136629000655375,15.119358400348574,45.29315270029474,76.79909489996498,6000,2503,3497,880.21484375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,500,2,completed,500,500,2000,15.313122298917733,15.112486900296062,45.36956670024665,77.03458249999676,6000,2503,3497,880.74609375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,500,3,completed,500,500,2000,15.52526179997949,15.515824400063138,46.38128430128563,78.690980400017,6000,2503,3497,880.74609375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,500,4,completed,500,500,2000,15.383242000010796,15.141928299563006,45.09229659935227,76.8824635000201,6000,2503,3497,880.72265625,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,4,500,5,completed,500,500,2000,15.611301600176375,15.495231699780561,46.23134840000421,78.60816339997109,6000,2503,3497,880.72265625,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,8,50,1,completed,50,50,400,1.6393338000634685,1.655728499928955,5.037828299740795,8.45734129997436,1400,253,1147,880.7265625,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,8,50,2,completed,50,50,400,1.624960299988743,1.6912091996637173,4.904786099912599,8.342197099991608,1400,253,1147,880.7265625,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,8,50,3,completed,50,50,400,1.6150029000709765,1.6384584998595528,5.016409599804319,8.394344600033946,1400,253,1147,880.7265625,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,8,50,4,completed,50,50,400,1.6504261000081897,1.673964699555654,5.07597329991404,8.526001500023995,1400,253,1147,880.7265625,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,8,50,5,completed,50,50,400,1.7433385000913404,1.7386070000356995,5.277062799839769,8.884883899998385,1400,253,1147,880.73046875,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,16,50,1,completed,50,50,800,2.0171276001492515,1.9785199000616558,6.369020700163674,10.50177559995791,4200,253,3947,883.88671875,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,16,50,2,completed,50,50,800,1.9886820998508483,1.9927928997785784,6.350840500090271,10.460021000006236,4200,253,3947,883.90234375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,16,50,3,completed,50,50,800,2.122407699993346,2.24848590005422,6.744508000323549,11.247188800014555,4200,253,3947,883.83984375,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,16,50,4,completed,50,50,800,2.188221199787222,2.2301126997335814,6.808363300107885,11.360335200035479,4200,253,3947,883.87890625,Windows GetProcessMemoryInfo working set,33,32
shared,30,52,16,50,5,completed,50,50,800,2.104066600149963,2.065435400174465,6.511050899804104,10.818042700004298,4200,253,3947,883.8203125,Windows GetProcessMemoryInfo working set,33,32
