architecture,n,horizon,K,B,median_seconds,iqr_seconds,completed_repetitions,max_memory_mb,median_unique_simulations,median_cache_hits
partitioned,3,52,4,50,2.5315528999781236,0.17690570000559092,5,879.375,253.0,347.0
partitioned,9,52,4,50,4.905500199995004,0.31776609999360517,5,879.3984375,303.0,347.0
partitioned,30,52,1,50,2.0431536000105552,0.10364990000380203,5,879.3984375,50.0,0.0
partitioned,30,52,2,50,8.054089599987492,0.9842040999792516,5,879.3984375,201.0,149.0
partitioned,30,52,4,50,15.04920430004131,2.3471831999486312,5,879.40234375,303.0,347.0
partitioned,30,52,4,100,25.49633380002342,0.9476685999543406,5,879.40234375,603.0,697.0
partitioned,30,52,4,200,50.213492700015195,2.4066662999684922,5,879.48046875,1203.0,1397.0
partitioned,30,52,4,500,120.02974839997478,0.09905260003870353,1,880.484375,2823.0,3287.0
partitioned,30,52,8,50,16.809411900001578,0.20595350000075996,5,880.734375,405.0,1145.0
partitioned,30,52,16,50,30.934888099960517,1.9640091999899596,5,885.39453125,609.0,3941.0
partitioned,30,104,4,50,22.792875799990725,0.49250869994284585,5,888.6796875,303.0,347.0
partitioned,30,208,4,50,44.91115399997216,1.038553900027182,5,900.1640625,303.0,347.0
partitioned,90,52,4,50,34.52125289995456,2.713168599992059,5,879.3515625,303.0,347.0
partitioned,300,52,4,50,121.17998499999521,1.1121029000496492,0,880.16015625,243.0,277.0
shared,3,52,4,50,2.3146162999910302,0.12996309995651245,5,897.609375,253.0,347.0
shared,9,52,4,50,3.4752676999778487,0.427699199935887,5,879.62109375,253.0,347.0
shared,30,52,1,50,4.602336100011598,0.01486779993865639,5,879.61328125,151.0,99.0
shared,30,52,2,50,6.296929700009059,0.2329524999950081,5,879.83984375,201.0,149.0
shared,30,52,4,50,7.984095699968748,0.10794799996074289,5,879.83984375,253.0,347.0
shared,30,52,4,100,15.815065999981016,1.0520236999727786,5,879.921875,503.0,697.0
shared,30,52,4,200,31.39074550004443,0.2530655000009574,5,879.95703125,1003.0,1397.0
shared,30,52,4,500,77.03458249999676,1.725699899950996,5,880.74609375,2503.0,3497.0
shared,30,52,8,50,8.45734129997436,0.13165689999004826,5,880.73046875,253.0,1147.0
shared,30,52,16,50,10.818042700004298,0.745413200056646,5,883.90234375,253.0,3947.0
shared,30,104,4,50,15.275567799981218,0.33038409997243434,5,887.65234375,253.0,347.0
shared,30,208,4,50,29.920826699992176,0.9870755999581888,5,896.04296875,253.0,347.0
shared,90,52,4,50,20.41175020002993,0.8136663000332192,5,879.203125,253.0,347.0
shared,300,52,4,50,65.39374570001382,7.79720339999767,5,879.91796875,253.0,347.0
