topology,method,purpose,requested_calls,unique_simulations,cache_hits,elapsed_seconds
A,FST-original,candidate_passive,50,50,0,0.2791436997940764
A,FST-original,candidate_active,33,33,0,0.19615409983089194
A,FST-original,singleton,51,6,45,0.033531200082506984
A,FST-original,upstream_node_deletion,15,1,14,0.005545000021811575
A,FST-original,direct_impact,15,9,6,0.04850919998716563
A,MI-FST,candidate_passive,50,50,0,0.31755039986455813
A,MI-FST,candidate_active,46,46,0,0.2752410002867691
A,MI-FST,singleton,129,20,109,0.12847329984651878
A,MI-FST,upstream_node_deletion,63,1,62,0.005330100015271455
A,MI-FST,direct_impact,63,36,27,0.24724669993156567
A,MI-FST,later_event_deletion,16,0,16,0.0
A,RST,candidate_passive,50,50,0,0.29829419986344874
A,RST,candidate_active,48,48,0,0.30476259981514886
A,RST,singleton,125,30,95,0.17961119988467544
A,RST,upstream_node_deletion,69,1,68,0.0037669999874196947
A,RST,direct_impact,69,39,30,0.23692790017230436
A,RST,later_event_deletion,12,0,12,0.0
A,MI-C,candidate_passive,50,50,0,0.32642290013609454
A,MI-C,candidate_active,45,45,0,0.3402760999160819
A,MI-C,singleton,123,22,101,0.131450800166931
A,MI-C,upstream_node_deletion,60,1,59,0.005297800002153963
A,MI-C,direct_impact,60,35,25,0.23115509992931038
A,MI-C,later_event_deletion,16,0,16,0.0
A,MI-M,candidate_passive,50,50,0,0.2910101003362797
A,MI-M,candidate_active,42,42,0,0.24400429998058826
A,MI-M,singleton,111,23,88,0.11352679994888604
A,MI-M,upstream_node_deletion,54,1,53,0.0039650999824516475
A,MI-M,direct_impact,54,32,22,0.18093560001580045
A,MI-M,later_event_deletion,16,0,16,0.0
A,MI-MD,candidate_passive,50,50,0,0.27195980004034936
A,MI-MD,candidate_active,42,42,0,0.23419330012984574
A,MI-MD,singleton,109,19,90,0.10270069993566722
A,MI-MD,upstream_node_deletion,53,1,52,0.004022700013592839
A,MI-MD,direct_impact,53,32,21,0.1845913000870496
A,MI-MD,later_event_deletion,16,0,16,0.0
A,MI-MDA,candidate_passive,50,50,0,0.2613314001937397
A,MI-MDA,candidate_active,42,42,0,0.21419090032577515
A,MI-MDA,singleton,115,22,93,0.09271789994090796
A,MI-MDA,upstream_node_deletion,45,1,44,0.00491289998171851
A,MI-MDA,direct_impact,45,28,17,0.15765460015973076
A,MI-MDA,later_event_deletion,16,0,16,0.0
B,FST-original,candidate_passive,50,50,0,0.29598459985572845
B,FST-original,candidate_active,31,31,0,0.19113130000187084
B,FST-original,singleton,45,4,41,0.016299599898047745
B,FST-original,upstream_node_deletion,11,1,10,0.005545100022573024
B,FST-original,direct_impact,11,7,4,0.042551000020466745
B,MI-FST,candidate_passive,50,50,0,0.27445759990951046
B,MI-FST,candidate_active,45,45,0,0.26365620002616197
B,MI-FST,singleton,123,20,103,0.10496539989253506
B,MI-FST,upstream_node_deletion,59,1,58,0.003167300019413233
B,MI-FST,direct_impact,59,35,24,0.22281229979125783
B,MI-FST,later_event_deletion,15,0,15,0.0
B,RST,candidate_passive,50,50,0,0.2823811001726426
B,RST,candidate_active,44,44,0,0.25439599982928485
B,RST,singleton,100,28,72,0.15527250000741333
B,RST,upstream_node_deletion,53,1,52,0.00300019996939227
B,RST,direct_impact,53,35,18,0.21357579994946718
B,RST,later_event_deletion,11,0,11,0.0
B,MI-C,candidate_passive,50,50,0,0.29521330032730475
B,MI-C,candidate_active,45,45,0,0.2557789004640654
B,MI-C,singleton,119,22,97,0.10662069992395118
B,MI-C,upstream_node_deletion,57,1,56,0.003994999977294356
B,MI-C,direct_impact,57,35,22,0.1943045998341404
B,MI-C,later_event_deletion,15,0,15,0.0
B,MI-M,candidate_passive,50,50,0,0.32736610010033473
B,MI-M,candidate_active,40,40,0,0.2572936999495141
B,MI-M,singleton,93,21,72,0.12953229999402538
B,MI-M,upstream_node_deletion,44,1,43,0.003328600025270134
B,MI-M,direct_impact,44,30,14,0.20739360013976693
B,MI-M,later_event_deletion,15,0,15,0.0
B,MI-MD,candidate_passive,50,50,0,0.2914919000468217
B,MI-MD,candidate_active,39,39,0,0.23807959991972893
B,MI-MD,singleton,91,17,74,0.09175989998038858
B,MI-MD,upstream_node_deletion,43,1,42,0.004724700003862381
B,MI-MD,direct_impact,43,29,14,0.19385110010625795
B,MI-MD,later_event_deletion,15,0,15,0.0
B,MI-MDA,candidate_passive,50,50,0,0.33890910004265606
B,MI-MDA,candidate_active,39,39,0,0.2680421001277864
B,MI-MDA,singleton,97,20,77,0.11822730005951598
B,MI-MDA,upstream_node_deletion,35,1,34,0.004569499986246228
B,MI-MDA,direct_impact,35,25,10,0.17174580012215301
B,MI-MDA,later_event_deletion,15,0,15,0.0
