scenario_id,category,moderate_crossing,severe_crossing,mechanism_labels_moderate,primary_mechanism_moderate,mechanism_labels_severe,primary_mechanism_severe,elements,event_specification
FST-01,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-02,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-03,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-04,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-05,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-06,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-07,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-08,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-09,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-10,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-11,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-12,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-13,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-14,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-15,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-16,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-17,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-18,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-19,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-20,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-21,Tier-1 supplier failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-22,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-23,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-24,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-25,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-26,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-27,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-28,Shared-processor failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,T2P,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-29,Shared-processor failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,T2P,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-30,Shared-processor failure,True,False,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Unclassified,Unclassified,T2P,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-31,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-32,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-33,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-34,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-35,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-36,Corridor failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,corridor,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-37,Corridor failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,corridor,"[{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-38,Corridor failure,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-39,Corridor failure,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-40,Corridor failure,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
FST-41,Corridor failure,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-42,Demand spike,False,False,Unclassified,Unclassified,Unclassified,Unclassified,,"[{""target"":""demand"",""magnitude"":0.1,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
FST-43,Demand spike,False,False,Unclassified,Unclassified,Unclassified,Unclassified,,"[{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
FST-44,Demand spike,False,False,Unclassified,Unclassified,Unclassified,Unclassified,,"[{""target"":""demand"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
FST-45,Demand spike,False,False,Unclassified,Unclassified,Unclassified,Unclassified,,"[{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
FST-46,Prespecified combination,True,False,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Unclassified,Unclassified,T2P; corridor,"[{""target"":""T2P"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.3,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-47,Prespecified combination,True,False,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Unclassified,Unclassified,S1A; T2P,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-48,Prespecified combination,True,True,Concentrated dependency; Hidden convergent dependency,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
FST-49,Prespecified combination,True,True,Concentrated dependency,Concentrated dependency,Concentrated dependency,Concentrated dependency,corridor,"[{""target"":""corridor"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
FST-50,Prespecified combination,True,False,Compounding moderate disturbance,Compounding moderate disturbance,Unclassified,Unclassified,S1A; S1B,"[{""target"":""S1A"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1B"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
