scenario_id,category,moderate_crossing,severe_crossing,mechanism_labels_moderate,primary_mechanism_moderate,mechanism_labels_severe,primary_mechanism_severe,elements,event_specification
FST-MB-01,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-02,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1A,"[{""target"":""S1A"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-03,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-04,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1B,"[{""target"":""S1B"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-05,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-06,Tier-1 supplier failure,True,False,Concentrated dependency,Concentrated dependency,Unclassified,Unclassified,S1C,"[{""target"":""S1C"",""magnitude"":0.7,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
FST-MB-07,Shared-processor failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,T2P,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-MB-08,Shared-processor failure,False,False,Unclassified,Unclassified,Unclassified,Unclassified,T2P,"[{""target"":""T2P"",""magnitude"":0.2,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-MB-09,Shared-processor failure,True,False,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Unclassified,Unclassified,T2P,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-MB-10,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-MB-11,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-MB-12,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
FST-MB-13,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
FST-MB-14,Shared-processor failure,True,True,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,T2P,"[{""target"":""T2P"",""magnitude"":0.65,""start_week"":12,""duration_weeks"":6,""recovery_weeks"":3}]"
