topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,1618,1,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.7718046467882782,890.3186341791218,True,False,True,False,False,"[{""target"":""S1A"",""magnitude"":0.24016453173849456,""start_week"":24,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.3053758178905496,""start_week"":30,""duration_weeks"":6,""recovery_weeks"":2}]"
A,1618,2,Shared upstream shock,True,True,False,Structural,Concentrated dependency,Concentrated dependency,2,0.8841455277812137,521.3451249845382,False,True,False,False,True,"[{""target"":""corridor"",""magnitude"":0.33689085416408954,""start_week"":17,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""S1C"",""magnitude"":0.1722720004467778,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":1}]"
A,1618,3,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.8421213605372765,212.37742331435493,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.18747730061376938,""start_week"":19,""duration_weeks"":5,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.2805735770401686,""start_week"":46,""duration_weeks"":5,""recovery_weeks"":4}]"
A,1618,4,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,1618,5,Shared upstream shock,True,True,False,Structural,Concentrated dependency,Concentrated dependency,5,0.8535755999327553,298.17338188981944,True,True,False,True,True,"[{""target"":""S1C"",""magnitude"":0.36885688905409586,""start_week"":22,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""S1C"",""magnitude"":0.5794549001513005,""start_week"":27,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.37968119694311164,""start_week"":42,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.1754566217522063,""start_week"":43,""duration_weeks"":6,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.5501096820558504,""start_week"":50,""duration_weeks"":1,""recovery_weeks"":2}]"
A,1618,6,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.9985963582320025,2.526555182395441,False,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.25315819397799405,""start_week"":20,""duration_weeks"":1,""recovery_weeks"":1}]"
A,1618,7,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.9770486729168892,38.62000430898911,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.2359276198683788,""start_week"":4,""duration_weeks"":3,""recovery_weeks"":4}]"
A,1618,8,Shared upstream shock,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.4290791965731199,799.1056964081846,True,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.4048691489998931,""start_week"":18,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.6138287230841921,""start_week"":29,""duration_weeks"":2,""recovery_weeks"":1}]"
A,1618,9,Shared upstream shock,True,True,False,Structural,Concentrated dependency,Concentrated dependency,5,0.7688312792087691,442.85258888002556,False,True,False,True,True,"[{""target"":""demand"",""magnitude"":0.06836165754274615,""start_week"":10,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.3674565541175089,""start_week"":11,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.4233765405934232,""start_week"":34,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.27746818762629777,""start_week"":38,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.4953151191321141,""start_week"":47,""duration_weeks"":4,""recovery_weeks"":4}]"
A,1618,10,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.8563282928035517,150.9987904912855,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.16777643387920574,""start_week"":37,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.21570536112326538,""start_week"":47,""duration_weeks"":4,""recovery_weeks"":4}]"
A,1618,11,Shared upstream shock,True,True,True,Structural,Concentrated dependency,Concentrated dependency,5,0.5244254230629113,2247.2292377301087,True,True,False,True,False,"[{""target"":""corridor"",""magnitude"":0.6066809327028165,""start_week"":7,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.29172706951045946,""start_week"":11,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.2899622736137073,""start_week"":13,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.36521300529282524,""start_week"":36,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.39750221729414337,""start_week"":44,""duration_weeks"":3,""recovery_weeks"":1}]"
A,1618,12,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,1618,13,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Propagation-amplified cascade,Propagation-amplified cascade,6,0.4133082425072759,2349.767471191608,True,True,False,False,True,"[{""target"":""T2P"",""magnitude"":0.3085094529176732,""start_week"":6,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.20642212449785352,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.23101082880206852,""start_week"":22,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.40653384758104016,""start_week"":26,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.47767672913277726,""start_week"":29,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.5660505799070814,""start_week"":34,""duration_weeks"":5,""recovery_weeks"":4}]"
A,1618,14,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,1618,15,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.8681301639424833,136.71089587854522,False,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.15190099542060573,""start_week"":5,""duration_weeks"":1,""recovery_weeks"":2}]"
A,1618,16,Shared upstream shock,True,True,False,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,1,0.7752384813422339,360.28415056395215,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.45342805018798404,""start_week"":28,""duration_weeks"":1,""recovery_weeks"":3}]"
A,1618,17,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,2,0.4898946443963603,4207.537023896575,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.3092603533605448,""start_week"":6,""duration_weeks"":3,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.5590948200432757,""start_week"":17,""duration_weeks"":8,""recovery_weeks"":4}]"
A,1618,18,Shared upstream shock,True,False,True,Adaptation-limited,Concentrated dependency,Concentrated dependency,2,0.7739635090434288,610.2985255827423,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.41952736821742853,""start_week"":30,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.30206913977466865,""start_week"":48,""duration_weeks"":6,""recovery_weeks"":4}]"
A,1618,19,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,5,0.4236621960937179,2585.806039974142,True,True,False,False,False,"[{""target"":""T2P"",""magnitude"":0.446880030897595,""start_week"":2,""duration_weeks"":5,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.2680203153497801,""start_week"":18,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.45875781394090054,""start_week"":21,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.36806498235099444,""start_week"":22,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""demand"",""magnitude"":0.07642328739973489,""start_week"":23,""duration_weeks"":1,""recovery_weeks"":1}]"
A,1618,20,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.9168244824659005,136.57677757448278,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.34971593156137937,""start_week"":44,""duration_weeks"":1,""recovery_weeks"":4}]"
A,1618,21,Shared upstream shock,True,True,True,Structural,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade,Hidden convergent dependency,4,0.6517699724779269,1919.0606851418252,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.44529201962905995,""start_week"":11,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.4134070247698658,""start_week"":18,""duration_weeks"":5,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.2466129575807325,""start_week"":30,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""T2P"",""magnitude"":0.20212312259002924,""start_week"":45,""duration_weeks"":1,""recovery_weeks"":4}]"
A,1618,22,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.9861327378828917,29.121250445927444,False,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.28120133976349365,""start_week"":3,""duration_weeks"":6,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.26267800299705196,""start_week"":27,""duration_weeks"":5,""recovery_weeks"":4}]"
A,1618,23,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,1,1.0,0.0,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.22185394172581774,""start_week"":37,""duration_weeks"":1,""recovery_weeks"":3}]"
A,1618,24,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,1618,25,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,3,0.9357259946171552,61.82002549606182,True,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.1824540127186739,""start_week"":4,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.06868891721784635,""start_week"":21,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.41891302414035525,""start_week"":47,""duration_weeks"":1,""recovery_weeks"":4}]"
A,1618,26,Shared upstream shock,True,False,True,Adaptation-limited,Concentrated dependency,Concentrated dependency,3,0.7371179869107675,832.1155130434167,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.12209615359927298,""start_week"":13,""duration_weeks"":5,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.21256769553438276,""start_week"":38,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.3296459059560005,""start_week"":40,""duration_weeks"":3,""recovery_weeks"":2}]"
A,1618,27,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.7581117794700348,301.9459510921016,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.3097847293186094,""start_week"":43,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.3176993984769687,""start_week"":47,""duration_weeks"":1,""recovery_weeks"":1}]"
A,1618,28,Shared upstream shock,False,,False,Non-failure,Unclassified,Unclassified,1,1.0,0.0,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.3214158019106934,""start_week"":32,""duration_weeks"":1,""recovery_weeks"":3}]"
