topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
A,1618,1,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.975388525381978,51.68409669784637,False,False,True,True,False,"[{""target"":""S1A"",""magnitude"":0.24016453173849456,""start_week"":24,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.3053758178905496,""start_week"":30,""duration_weeks"":6,""recovery_weeks"":2}]"
A,1618,2,Supplier-cluster shock,True,True,False,Structural,Concentrated dependency,Concentrated dependency,2,0.8841455277812137,521.3451249845382,False,True,False,False,True,"[{""target"":""corridor"",""magnitude"":0.33689085416408954,""start_week"":17,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""S1C"",""magnitude"":0.1722720004467778,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":1}]"
A,1618,3,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.8421213605372765,212.37742331435493,False,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.18747730061376938,""start_week"":19,""duration_weeks"":5,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.2805735770401686,""start_week"":46,""duration_weeks"":5,""recovery_weeks"":4}]"
A,1618,4,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
A,1618,5,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,3,0.9471747159759574,110.93309645048942,False,False,False,True,True,"[{""target"":""S1C"",""magnitude"":0.36885688905409586,""start_week"":22,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.33338281899866984,""start_week"":27,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.2767718449407197,""start_week"":29,""duration_weeks"":4,""recovery_weeks"":4}]"
A,1618,6,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.9985963582320025,2.526555182395441,False,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.25315819397799405,""start_week"":20,""duration_weeks"":1,""recovery_weeks"":1}]"
A,1618,7,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,1,0.9770486729168892,38.62000430898911,True,False,False,False,False,"[{""target"":""T2P"",""magnitude"":0.2359276198683788,""start_week"":4,""duration_weeks"":3,""recovery_weeks"":4}]"
A,1618,8,Supplier-cluster shock,True,True,False,Structural,Concentrated dependency,Concentrated dependency,2,0.8382983452959145,292.11331726378216,False,False,True,False,True,"[{""target"":""S1C"",""magnitude"":0.4048691489998931,""start_week"":18,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.6138287230841921,""start_week"":29,""duration_weeks"":2,""recovery_weeks"":1}]"
A,1618,9,Supplier-cluster shock,True,True,True,Structural,Concentrated dependency; Recovery lag and temporal overlap,Recovery lag and temporal overlap,5,0.49684173707057083,2466.895660788177,False,True,False,True,True,"[{""target"":""demand"",""magnitude"":0.06836165754274615,""start_week"":10,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1C"",""magnitude"":0.3674565541175089,""start_week"":11,""duration_weeks"":3,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.29122150385393797,""start_week"":34,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.555803732275614,""start_week"":38,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.1920530142882445,""start_week"":42,""duration_weeks"":1,""recovery_weeks"":4}]"
A,1618,10,Supplier-cluster shock,False,,False,Non-failure,Unclassified,Unclassified,2,0.8563282928035517,150.9987904912855,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.16777643387920574,""start_week"":37,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P"",""magnitude"":0.21570536112326538,""start_week"":47,""duration_weeks"":4,""recovery_weeks"":4}]"
