topology,seed,replication,dependence_model,moderate_passive_failure,moderate_active_failure,severe_passive_failure,passive_active_classification,mechanism_labels,primary_mechanism,event_count,worst_service_level,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C,event_specification
B,42,1,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,1,0.9899778872429135,126.27862073929032,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.2575165845678149,""start_week"":18,""duration_weeks"":13,""recovery_weeks"":4}]"
B,42,2,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9872950225845254,26.680452572496733,True,False,False,True,False,"[{""target"":""T2P-A"",""magnitude"":0.3667074629899391,""start_week"":4,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""S1B"",""magnitude"":0.27858619918481775,""start_week"":48,""duration_weeks"":3,""recovery_weeks"":3}]"
B,42,3,Independent baseline,True,True,False,Structural,Compounding moderate disturbance,Compounding moderate disturbance,5,0.7956202983091817,1064.2390264188625,True,True,False,False,False,"[{""target"":""demand"",""magnitude"":0.16367540559208318,""start_week"":4,""duration_weeks"":5,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.11762103957141062,""start_week"":8,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""T2P-A"",""magnitude"":0.3311611396089725,""start_week"":9,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.2750650106823086,""start_week"":17,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.2136117389786309,""start_week"":42,""duration_weeks"":10,""recovery_weeks"":2}]"
B,42,4,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,0,1.0,0.0,False,False,False,False,False,[]
B,42,5,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,3,0.8702984218952128,479.99409016529603,True,False,False,False,False,"[{""target"":""demand"",""magnitude"":0.1178921591979534,""start_week"":1,""duration_weeks"":4,""recovery_weeks"":4},{""target"":""T2P-A"",""magnitude"":0.2750971304414625,""start_week"":11,""duration_weeks"":10,""recovery_weeks"":4},{""target"":""demand"",""magnitude"":0.08247348084994817,""start_week"":39,""duration_weeks"":5,""recovery_weeks"":4}]"
B,42,6,Independent baseline,True,True,True,Structural,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,Hidden convergent dependency,6,0.7291949926257351,2583.0146695338544,True,False,False,False,True,"[{""target"":""T2P-A"",""magnitude"":0.5269319855534986,""start_week"":22,""duration_weeks"":1,""recovery_weeks"":1},{""target"":""T2P-A"",""magnitude"":0.2361664399969593,""start_week"":23,""duration_weeks"":10,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.1968791283349262,""start_week"":38,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""T2P-A"",""magnitude"":0.39604837097198664,""start_week"":39,""duration_weeks"":14,""recovery_weeks"":4},{""target"":""S1C"",""magnitude"":0.4704573414733947,""start_week"":40,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""T2P-A"",""magnitude"":0.236476000370687,""start_week"":49,""duration_weeks"":5,""recovery_weeks"":2}]"
B,42,7,Independent baseline,True,True,True,Structural,Concentrated dependency,Concentrated dependency,3,0.6694994304256612,2554.087636308111,False,True,False,False,False,"[{""target"":""corridor"",""magnitude"":0.3290970216510387,""start_week"":27,""duration_weeks"":10,""recovery_weeks"":2},{""target"":""demand"",""magnitude"":0.2780945171418665,""start_week"":31,""duration_weeks"":2,""recovery_weeks"":1},{""target"":""corridor"",""magnitude"":0.25156902111996227,""start_week"":35,""duration_weeks"":4,""recovery_weeks"":1}]"
B,42,8,Independent baseline,True,False,False,Adaptation-limited,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,Propagation-amplified cascade,5,0.8360596179539228,377.8942000658285,True,True,True,True,False,"[{""target"":""S1A"",""magnitude"":0.27566545605466525,""start_week"":1,""duration_weeks"":4,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.3857765326061381,""start_week"":18,""duration_weeks"":11,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.2355536367676322,""start_week"":26,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""corridor"",""magnitude"":0.3729552865345579,""start_week"":30,""duration_weeks"":1,""recovery_weeks"":3},{""target"":""S1B"",""magnitude"":0.4222946955433209,""start_week"":32,""duration_weeks"":9,""recovery_weeks"":2}]"
B,42,9,Independent baseline,False,,False,Non-failure,Unclassified,Unclassified,2,0.9049256311396777,199.6561746066767,True,False,False,False,True,"[{""target"":""S1C"",""magnitude"":0.463917329935725,""start_week"":27,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""T2P-A"",""magnitude"":0.18803758970710122,""start_week"":43,""duration_weeks"":2,""recovery_weeks"":3}]"
B,42,10,Independent baseline,True,True,False,Structural,Concentrated dependency; Recovery lag and temporal overlap,Recovery lag and temporal overlap,5,0.84986002152271,270.25196125912214,False,True,False,True,True,"[{""target"":""S1C"",""magnitude"":0.21308616838383757,""start_week"":5,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.3626049838579675,""start_week"":6,""duration_weeks"":1,""recovery_weeks"":2},{""target"":""S1B"",""magnitude"":0.22300817956825156,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":4},{""target"":""S1B"",""magnitude"":0.27192527264852806,""start_week"":17,""duration_weeks"":1,""recovery_weeks"":4},{""target"":""corridor"",""magnitude"":0.1770158371636346,""start_week"":42,""duration_weeks"":3,""recovery_weeks"":2}]"
