topology,metric,n,mean,sd,min,q25,median,q75,max
A,mc_moderate_failures,5,242.2,17.79606698121807,217.0,233.0,244.0,256.0,261.0
A,mc_severe_failures,5,120.4,13.164345787011218,102.0,112.0,124.0,131.0,133.0
A,fst_original_crossings,5,7.0,0.0,7.0,7.0,7.0,7.0,7.0
A,fst_enhanced_crossings,5,22.0,0.0,22.0,22.0,22.0,22.0,22.0
A,rst_passive_pathways,5,21.0,0.0,21.0,21.0,21.0,21.0,21.0
A,rst_structural_pathways,5,11.0,0.0,11.0,11.0,11.0,11.0,11.0
A,rst_adaptation_limited_pathways,5,10.0,0.0,10.0,10.0,10.0,10.0,10.0
A,upstream_processor_criticality_rank,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A,corridor_criticality_rank,5,2.0,0.0,2.0,2.0,2.0,2.0,2.0
A,fst_original_non_alf_coverage,5,0.8609660804212395,0.02724838714510682,0.8235294117647058,0.8492063492063492,0.8571428571428571,0.8852459016393442,0.8897058823529411
A,fst_enhanced_non_alf_coverage,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A,rst_non_alf_coverage,5,0.9014812424826129,0.031168622175961457,0.8676470588235294,0.873015873015873,0.9016393442622951,0.9323308270676691,0.9327731092436975
A,fst_original_cmd_pac_rlto_coverage,5,0.6026867512332628,0.07241587845053267,0.5,0.5681818181818182,0.6041666666666666,0.6666666666666666,0.6744186046511628
A,fst_enhanced_cmd_pac_rlto_coverage,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A,rst_cmd_pac_rlto_coverage,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
B,mc_moderate_failures,5,127.6,14.010710188994702,108.0,122.0,126.0,139.0,143.0
B,mc_severe_failures,5,49.0,7.3824115301167,37.0,47.0,52.0,54.0,55.0
B,fst_original_crossings,5,4.0,0.0,4.0,4.0,4.0,4.0,4.0
B,fst_enhanced_crossings,5,17.0,0.0,17.0,17.0,17.0,17.0,17.0
B,rst_passive_pathways,5,7.0,0.0,7.0,7.0,7.0,7.0,7.0
B,rst_structural_pathways,5,2.0,0.0,2.0,2.0,2.0,2.0,2.0
B,rst_adaptation_limited_pathways,5,5.0,0.0,5.0,5.0,5.0,5.0,5.0
B,upstream_processor_criticality_rank,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
B,corridor_criticality_rank,5,2.0,0.0,2.0,2.0,2.0,2.0,2.0
B,fst_original_non_alf_coverage,5,0.5342881890349921,0.04602133546801998,0.47692307692307695,0.5147058823529411,0.52,0.5652173913043478,0.5945945945945946
B,fst_enhanced_non_alf_coverage,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
B,rst_non_alf_coverage,5,0.8050746437958713,0.05948857553791965,0.7432432432432432,0.7536231884057971,0.8,0.8461538461538461,0.8823529411764706
B,fst_original_cmd_pac_rlto_coverage,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,fst_enhanced_cmd_pac_rlto_coverage,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
B,rst_cmd_pac_rlto_coverage,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
All,mc_moderate_failures,10,184.9,62.25833277562129,108.0,129.25,180.0,241.25,261.0
All,mc_severe_failures,10,84.7,38.95310570987177,37.0,52.5,78.5,121.0,133.0
All,fst_original_crossings,10,5.5,1.5811388300841898,4.0,4.0,5.5,7.0,7.0
All,fst_enhanced_crossings,10,19.5,2.6352313834736494,17.0,17.0,19.5,22.0,22.0
All,rst_passive_pathways,10,14.0,7.378647873726218,7.0,7.0,14.0,21.0,21.0
All,rst_structural_pathways,10,6.5,4.743416490252569,2.0,2.0,6.5,11.0,11.0
All,rst_adaptation_limited_pathways,10,7.5,2.6352313834736494,5.0,5.0,7.5,10.0,10.0
All,upstream_processor_criticality_rank,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
All,corridor_criticality_rank,10,2.0,0.0,2.0,2.0,2.0,2.0,2.0
All,fst_original_non_alf_coverage,10,0.6976271347281158,0.17582752391113626,0.47692307692307695,0.5313043478260869,0.7090620031796502,0.8551587301587301,0.8897058823529411
All,fst_enhanced_non_alf_coverage,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
All,rst_non_alf_coverage,10,0.8532779431392422,0.06772253456189245,0.7432432432432432,0.8115384615384615,0.8703314659197012,0.896817743490839,0.9327731092436975
All,fst_original_cmd_pac_rlto_coverage,10,0.3013433756166314,0.321291584094108,0.0,0.0,0.25,0.5951704545454546,0.6744186046511628
All,fst_enhanced_cmd_pac_rlto_coverage,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
All,rst_cmd_pac_rlto_coverage,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
