replication,moderate_passive_failure,moderate_active_failure,passive_active_classification,severe_passive_failure,severe_active_failure,primary_family,event_count,max_backlog_passive,has_T2P,has_corridor,has_S1A,has_S1B,has_S1C
1,False,False,Non-failure,False,False,Non-failure,2,517.1114248559244,False,False,True,False,False
2,False,False,Non-failure,False,False,Non-failure,1,179.74174548584642,True,False,False,False,False
3,False,False,Non-failure,False,False,Non-failure,1,0.0,False,False,False,True,False
4,False,False,Non-failure,False,False,Non-failure,1,1384.0085242371367,False,False,False,False,False
5,False,False,Non-failure,False,False,Non-failure,2,698.0735217384827,False,False,False,False,True
6,True,True,Structural,False,False,Hidden convergent dependency,2,1493.8977964244586,True,False,False,False,False
7,False,False,Non-failure,False,False,Non-failure,2,306.1438200417241,True,True,False,False,False
8,True,True,Structural,False,False,Hidden convergent dependency,2,484.70352928549903,True,False,True,False,False
9,False,False,Non-failure,False,False,Non-failure,2,760.0511938843044,False,False,True,False,False
10,False,False,Non-failure,False,False,Non-failure,2,531.5124596449193,True,False,False,True,False
11,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,781.4260722057957,True,False,True,False,False
12,False,False,Non-failure,False,False,Non-failure,2,106.5703211415431,False,False,False,False,True
13,False,False,Non-failure,False,False,Non-failure,2,152.62713365955256,False,True,False,True,False
14,False,False,Non-failure,False,False,Non-failure,2,281.0128332567941,True,True,False,False,False
15,False,False,Non-failure,False,False,Non-failure,2,125.50319725408144,False,False,False,False,True
16,False,False,Non-failure,False,False,Non-failure,2,124.95592989459124,False,True,False,False,False
17,False,False,Non-failure,False,False,Non-failure,2,16.814175042498846,False,True,True,False,False
18,True,True,Structural,True,False,Concentrated dependency,2,2589.183656308245,False,False,True,True,False
19,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,False,False,True
20,False,False,Non-failure,False,False,Non-failure,2,199.55575037190692,False,True,False,False,False
21,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,False,False,True
22,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,False,False,True
23,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,2322.68444013926,True,False,False,False,False
24,True,True,Structural,False,False,Hidden convergent dependency,2,569.2875724441798,True,True,False,False,False
25,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,False,True,True
26,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1364.7173282210474,True,True,False,False,False
27,False,False,Non-failure,False,False,Non-failure,2,1122.7240304277998,True,True,False,False,False
28,True,True,Structural,False,False,Hidden convergent dependency,2,1185.2457445879809,True,False,False,False,True
29,True,False,Adaptation-limited,False,False,Compounding moderate disturbance,2,404.86743444171134,True,False,True,False,False
30,False,False,Non-failure,False,False,Non-failure,1,418.65152567108635,False,False,False,False,False
31,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,834.0169047247302,True,True,False,False,False
32,False,False,Non-failure,False,False,Non-failure,2,275.5565024874413,True,False,False,True,False
33,False,False,Non-failure,False,False,Non-failure,2,1996.7460551818485,False,False,False,True,False
34,True,True,Structural,True,False,Hidden convergent dependency,2,1037.8272209633938,True,False,False,True,False
35,False,False,Non-failure,False,False,Non-failure,2,364.40472796684185,True,False,False,True,False
36,False,False,Non-failure,False,False,Non-failure,2,756.5108533585492,True,False,True,False,False
37,False,False,Non-failure,False,False,Non-failure,2,5619.4447260514735,False,False,False,False,True
38,True,True,Structural,False,False,Hidden convergent dependency,2,1265.9550559160818,True,False,False,True,False
39,False,False,Non-failure,False,False,Non-failure,2,171.36521467393993,True,False,False,True,False
40,True,True,Structural,False,False,Hidden convergent dependency,2,1245.4062294237574,True,False,True,False,False
41,False,False,Non-failure,False,False,Non-failure,2,430.630233625236,False,True,True,False,False
42,False,False,Non-failure,False,False,Non-failure,2,818.2869510048504,False,False,False,False,False
43,True,True,Structural,False,False,Hidden convergent dependency,2,1508.1369850241138,True,False,False,False,True
44,False,False,Non-failure,False,False,Non-failure,2,0.0,True,False,False,False,True
45,False,False,Non-failure,False,False,Non-failure,2,563.9403935723774,True,False,False,True,False
46,False,False,Non-failure,False,False,Non-failure,2,19.346882030696406,False,False,False,True,True
47,False,False,Non-failure,False,False,Non-failure,2,1981.880041355871,False,True,False,False,False
48,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,2369.118355086245,True,False,False,False,False
49,False,False,Non-failure,False,False,Non-failure,2,493.1382730728078,False,True,False,True,False
50,False,False,Non-failure,False,False,Non-failure,2,777.8767374657871,True,False,True,False,False
51,False,False,Non-failure,False,False,Non-failure,2,0.0,True,False,False,False,True
52,False,False,Non-failure,False,False,Non-failure,2,473.9437275290071,False,False,True,False,False
53,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,False,True
54,False,False,Non-failure,False,False,Non-failure,2,769.0616022666106,True,False,False,False,False
55,False,False,Non-failure,False,False,Non-failure,2,460.86790592557657,False,False,False,False,True
56,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,False,True,False
57,False,False,Non-failure,False,False,Non-failure,2,19.4078422457942,False,False,True,False,False
58,False,False,Non-failure,False,False,Non-failure,2,318.10795096663196,False,True,False,False,True
59,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1209.8025945365187,True,True,False,False,False
60,False,False,Non-failure,False,False,Non-failure,2,179.4774829337032,True,True,False,False,False
61,False,False,Non-failure,False,False,Non-failure,2,184.52278177874177,False,True,True,False,False
62,True,False,Adaptation-limited,False,False,Compounding moderate disturbance,2,474.1966732139906,True,True,False,False,False
63,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1343.134790620583,True,False,False,True,False
64,False,False,Non-failure,False,False,Non-failure,2,4265.420480865289,False,False,False,False,True
65,False,False,Non-failure,False,False,Non-failure,2,1917.4896506393547,False,True,False,False,False
66,False,False,Non-failure,False,False,Non-failure,2,891.9534490931924,False,False,False,False,True
67,False,False,Non-failure,False,False,Non-failure,2,27.295922009549372,False,False,False,True,False
68,False,False,Non-failure,False,False,Non-failure,2,289.54805371487635,True,False,False,False,True
69,False,False,Non-failure,False,False,Non-failure,2,1468.3110013675341,False,False,False,True,False
70,False,False,Non-failure,False,False,Non-failure,2,136.99799794528906,True,False,False,True,False
71,False,False,Non-failure,False,False,Non-failure,2,61.945110648589775,True,False,True,False,False
72,False,False,Non-failure,False,False,Non-failure,2,1138.9919415050208,True,False,False,False,False
73,False,False,Non-failure,False,False,Non-failure,2,548.3887894054346,True,False,False,False,False
74,False,False,Non-failure,False,False,Non-failure,2,250.77340887869536,True,True,False,False,False
75,False,False,Non-failure,False,False,Non-failure,2,198.73528890959813,False,False,False,False,True
76,False,False,Non-failure,False,False,Non-failure,2,13.826857751097009,False,True,False,True,False
77,False,False,Non-failure,False,False,Non-failure,2,2077.0276444582896,False,False,False,False,True
78,False,False,Non-failure,False,False,Non-failure,2,802.623814307384,True,False,False,True,False
79,True,False,Adaptation-limited,False,False,Adaptation-limited failure,2,1099.421862366515,True,False,False,False,False
80,False,False,Non-failure,False,False,Non-failure,2,1912.5105548277234,False,False,True,False,False
81,False,False,Non-failure,False,False,Non-failure,2,1431.072040580999,False,False,False,True,False
82,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,True,False,False
83,False,False,Non-failure,False,False,Non-failure,2,390.11819762151276,False,False,False,True,False
84,False,False,Non-failure,False,False,Non-failure,2,139.3142433140024,True,False,False,False,True
85,False,False,Non-failure,False,False,Non-failure,2,113.54295291738163,True,False,False,False,True
86,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,False,True,False
87,False,False,Non-failure,False,False,Non-failure,2,978.6216709596358,True,True,False,False,False
88,False,False,Non-failure,False,False,Non-failure,2,29.938753664677733,True,False,True,False,False
89,False,False,Non-failure,False,False,Non-failure,2,517.6422711518248,True,False,True,False,False
90,False,False,Non-failure,False,False,Non-failure,2,1707.8871808413007,False,False,False,False,False
91,False,False,Non-failure,False,False,Non-failure,2,68.14207076494279,False,True,False,False,False
92,False,False,Non-failure,False,False,Non-failure,1,0.0,False,False,True,False,False
93,False,False,Non-failure,False,False,Non-failure,1,0.0,False,False,True,False,False
94,True,False,Adaptation-limited,True,False,Adaptation-limited failure,2,1457.9872710485624,True,False,False,True,False
95,False,False,Non-failure,False,False,Non-failure,2,64.13342974550937,False,False,False,False,True
96,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,False,False,True
97,False,False,Non-failure,False,False,Non-failure,2,0.0,False,True,False,True,False
98,False,False,Non-failure,False,False,Non-failure,2,1637.3292060874514,False,False,False,False,True
99,False,False,Non-failure,False,False,Non-failure,2,156.42452396017484,False,False,True,True,False
100,False,False,Non-failure,False,False,Non-failure,1,3638.4835473205903,False,False,False,False,False
101,False,False,Non-failure,False,False,Non-failure,1,490.616923368721,False,False,False,False,False
102,False,False,Non-failure,False,False,Non-failure,2,1326.5959388194515,True,False,False,False,True
103,False,False,Non-failure,False,False,Non-failure,2,204.38654998677384,False,False,True,False,True
104,False,False,Non-failure,False,False,Non-failure,2,537.2039686422539,False,False,False,True,False
105,False,False,Non-failure,False,False,Non-failure,2,154.66604883213188,True,True,False,False,False
106,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,True,True,False
107,False,False,Non-failure,False,False,Non-failure,2,0.0,False,False,False,False,True
108,True,False,Adaptation-limited,False,False,Compounding moderate disturbance,2,1173.3564376830352,True,False,False,False,False
109,True,True,Structural,True,False,Hidden convergent dependency,2,2532.7597299490703,True,False,False,False,False
110,True,True,Structural,True,False,Hidden convergent dependency,2,2094.2216133892357,True,True,False,False,False
111,False,False,Non-failure,False,False,Non-failure,2,1.155949567489074,False,True,False,True,False
112,False,False,Non-failure,False,False,Non-failure,2,905.0491622703485,False,False,False,True,False
113,False,False,Non-failure,False,False,Non-failure,2,116.79430736106758,True,True,False,False,False
114,False,False,Non-failure,False,False,Non-failure,2,419.08499754466936,True,False,False,False,True
115,False,False,Non-failure,False,False,Non-failure,2,483.7926815308143,False,True,False,False,False
116,False,False,Non-failure,False,False,Non-failure,2,404.00076291829646,False,True,False,False,True
117,False,False,Non-failure,False,False,Non-failure,2,1112.7903382933255,False,False,True,False,False
118,False,False,Non-failure,False,False,Non-failure,2,631.2587669644449,True,True,False,False,False
